,KOI,feh,feh_errm,feh_errp,logg,logg_errm,logg_errp,period,period_errm,period_errp,teff,teff_errm,teff_errp
43,119,-0.2,-0.26,0.34,4.529,-0.752,0.07,35.04439188318635,9.443332641009157,9.00055983574866,5095.0,-136.0,157.0
44,122,-0.33,-0.101,0.101,3.122,-0.008,0.008,34.15676528867351,14.87868924842126,1.687680847758564,5066.0,-75.0,75.0
45,123,0.34,-0.16,0.1,4.082,-0.18899999999999997,0.124,26.41946338302665,2.9929087210041345,3.2228907372475604,6038.0,-133.0,105.0
46,124,-0.32,-0.3,0.24,4.4719999999999995,-0.298,0.049,36.555005440486745,4.3574479693932915,3.9954196421791153,6299.0,-220.0,169.0
47,127,-0.12,-0.3,0.22,4.364,-0.325,0.083,30.491877702228138,12.830039591334351,3.247121110791525,6322.0,-218.0,160.0
48,128,-0.06,-0.26,0.27,4.239,-0.22,0.20199999999999999,23.484726722861957,3.7153901238527,4.9180670408946625,5721.0,-153.0,160.0
49,134,-0.28,-0.3,0.22,4.442,-0.299,0.05,7.6813624046030835,0.08689110278028878,0.09469856957811551,6388.0,-214.0,160.0
50,135,-0.02,-0.28,0.24,4.566,-0.217,0.026000000000000002,12.856977608194839,0.10443553772501346,0.1137146705799772,5523.0,-138.0,166.0
51,137,0.0,-0.14,0.14,4.322,-0.11599999999999999,0.122,16.40426248963634,1.8830732493380342,9.110733941535461,5735.0,-109.0,112.0
52,139,-0.08,-0.12,0.14,3.968,-0.135,0.138,17.14236025061336,0.19633289864897918,0.23454511146067958,6350.0,-121.0,110.0
53,141,-0.14,-0.16,0.14,4.371,-0.139,0.087,18.16439427324334,1.1924449274140194,5.726746952439903,5973.0,-126.0,109.0
54,142,0.07,-0.15,0.14,4.567,-0.146,0.01,31.569795214710524,0.45438077172764935,0.4524519289819722,5530.0,-104.0,106.0
55,144,0.0,-0.14,0.18,4.595,-0.07200000000000001,0.011000000000000001,39.72376624264529,4.232982911330055,4.8105551959277335,5203.0,,102.0
56,145,0.32,-0.2,0.1,4.263,-0.055,0.047,14.668617777229857,4.34736757202548,1.3695904306944495,6022.0,-138.0,116.0
57,148,-0.14,-0.34,0.24,4.275,-0.29100000000000004,0.109,38.348372409342396,3.7788576808613,3.928767089005561,6692.0,-280.0,154.0
58,149,0.3,-0.26,0.14,4.569,-0.078,0.025,20.294122164477436,1.5713358808788698,1.9467702054824763,4892.0,-151.0,192.0
59,150,0.1,-0.14,0.16,4.606,-0.045,0.013000000000000001,15.624544433696276,2.585340784797898,8.639135828497569,4744.0,-94.0,94.0
60,152,-0.1,-0.3,0.28,4.058,-0.214,0.292,4.707440083540057,0.14800478228817937,0.1911587221132054,5957.0,-181.0,169.0
61,153,0.3,-0.14,0.12,4.558,-0.113,0.015,26.862774162055018,3.2583071667694767,3.4315310457739123,5296.0,-96.0,108.0
62,155,0.0,-0.28,0.21,4.5169999999999995,-0.304,0.033,30.158279604348632,10.754584621003115,10.379311081982141,5831.0,-196.0,182.0
63,157,0.24,-0.22,0.18,4.303,-0.24100000000000002,0.179,21.07422812365106,2.7196121288497217,8.264686391125053,5423.0,-149.0,185.0
64,159,0.0,-0.14,0.14,4.563,-0.125,0.013999999999999999,13.829565732510776,0.17589811489171048,0.16180788163158866,5487.0,-111.0,100.0
