# Title: Stellar Rotation Periods of the Kepler Objects of Interest: A Dearth of Close-in Planets around Fast Rotators
# Authors: A. McQuillan, T. Mazeh and S. Aigrain
#
# Table 1. Stellar rotation periods for the KOIs.
#
# koi_id - KOI number
# keplerid - KIC number
# teff - KIC effective temperature (K)
# logg - KIC surface gravity (dex)
# R_pl - Planet Radius (R_earth) from the NASA Exoplanet Archive (NEA)
# P_orb - Planet orbital period (days) from the NASA Exoplanet Archive (NEA)
# P_rot - Stellar rotation period (days)
# P_rot_err - Uncertainty on P_rot
# R_var - amplitude of periodic variablity (mmags)
# Flag - N - KIC values missing so NEA values used; G - likely giant;  E - published EB; 
# ... B - published blend; T - likely eclipsing binary identified in this work; 
# ... C - centroid motion shows transit and rotation modulation on different stars.
#
#
koi_id,keplerid,teff,logg,R_pl,P_orb,P_rot,P_rot_err,R_var,Flag
899,7907423,3587,4.84,1.20,3.307,36.422,0.336,5.53,-
902,8018547,4312,4.62,5.43,83.911,15.492,0.021,8.62,-
904,8150320,4362,4.56,1.59,2.211,13.736,0.002,13.76,-
911,8490993,5820,4.78,2.29,4.094,18.524,0.079,2.92,-
912,8505670,4214,4.61,1.26,6.668,11.055,0.003,14.13,-
913,8544996,5463,4.75,11.10,4.082,24.865,2.729,2.85,E
918,8672910,5321,4.54,10.10,39.643,17.459,0.022,13.20,-
922,8826878,5253,4.46,2.20,5.154,22.635,0.040,9.35,-
934,9334289,5733,4.66,4.00,5.827,24.523,0.114,4.16,-
936,9388479,3518,4.88,1.47,0.893,36.007,0.144,12.82,-
941,9480189,4998,4.30,2.00,2.383,21.679,0.042,20.65,-
942,9512687,4997,4.73,2.70,11.515,31.651,0.581,3.96,-
943,9513865,5178,4.73,2.10,3.601,34.789,2.122,2.75,-
947,9710326,3717,4.83,2.48,28.599,24.791,0.406,5.51,-
951,9775938,4767,4.25,3.10,13.197,26.399,0.090,14.82,-
952,9787239,3787,4.74,0.86,0.743,36.220,0.256,8.98,-
956,9875711,4580,4.33,3.17,8.361,39.100,0.261,3.04,-
969,4044005,5975,4.40,8.49,17.512,11.677,0.011,2.28,N
974,9414417,6069,4.34,3.24,53.506,10.847,0.002,0.35,-
975,3632418,6131,3.90,1.72,2.786,12.591,0.036,0.42,-
984,1161345,5836,4.14,3.19,4.287,7.978,0.005,14.85,-
986,2854698,5348,4.92,2.04,8.187,19.203,0.005,15.18,-
987,7295235,5244,4.56,1.28,3.179,20.894,0.094,5.13,-
988,2302548,5052,4.01,2.21,10.381,12.368,0.001,19.70,-
989,10743597,5394,4.54,3.60,16.161,25.018,0.079,10.40,-
999,2165002,5118,4.57,2.66,16.568,22.745,0.054,7.80,-
1010,1027438,6452,4.16,10.70,110.624,9.536,0.027,0.91,-
1024,2715135,4162,4.61,1.76,5.748,21.721,0.028,7.24,-
1050,5809890,4894,4.40,1.40,1.269,29.807,0.238,5.41,-
1053,5956656,5403,4.59,1.27,1.225,27.433,0.513,3.64,-
1066,8260218,5472,4.52,9.70,5.715,13.185,0.042,3.86,-
1074,10272640,6075,4.49,11.10,3.771,4.035,0.002,16.72,-
1078,10166274,3878,4.74,2.00,3.354,21.627,0.215,4.67,-
1085,10118816,3878,4.72,1.06,7.718,39.934,0.024,6.39,-
1102,3231341,5800,4.34,1.70,4.244,10.080,0.154,2.32,-
1141,8346392,3976,4.72,1.58,5.728,18.029,0.004,10.52,-
1145,8313667,5808,4.56,2.70,30.584,13.003,0.063,2.09,-
1146,8351704,3778,4.79,1.15,7.097,25.306,0.026,3.04,-
1150,8278371,5601,4.52,1.10,0.677,33.043,0.490,1.03,-
1160,10330115,5164,4.88,2.88,13.214,20.041,0.077,12.64,-
1176,3749365,4601,4.69,9.86,1.974,18.293,0.014,12.69,-
1187,3848972,5286,4.85,3.80,0.371,21.751,0.017,3.35,T
1194,3554031,4350,4.68,1.15,4.176,23.126,0.074,10.42,-
1199,3859079,4746,4.50,2.26,53.529,34.257,0.529,3.80,-
1201,4061149,3728,4.76,1.21,2.758,29.788,0.119,6.19,-
1202,3444588,4196,4.74,1.17,0.928,36.409,0.087,9.53,-
1227,6629332,5452,4.82,28.00,2.155,4.258,0.000,19.01,E
1255,8494263,5521,4.79,7.20,78.925,1.998,0.001,4.58,C
1266,8547140,4342,4.57,2.05,11.419,29.865,0.113,3.42,-
1270,8564587,5145,4.87,2.23,5.729,33.307,3.532,3.33,-
1298,10604335,4157,4.48,2.77,11.008,18.167,0.045,8.22,-
1300,10975146,4369,4.51,1.34,0.631,38.284,4.447,2.77,-
1302,10724369,5659,4.60,2.70,55.638,29.587,0.217,1.43,-
1305,10730034,5235,4.71,1.27,2.634,26.948,1.399,3.88,-
1320,4164994,4936,4.63,8.20,10.507,34.216,6.562,7.09,-
1329,4072526,5157,4.61,2.90,33.199,28.728,5.356,3.25,-
1331,4274548,4652,4.74,1.60,6.801,24.661,0.021,6.47,-
1337,4243911,5067,4.57,1.13,1.923,31.253,0.031,9.64,-
1353,7303287,6031,4.09,3.80,34.544,8.648,0.009,15.09,-
1358,7376983,4601,4.66,1.09,2.346,32.585,2.258,6.62,-
1361,6960913,4050,4.62,2.33,59.878,35.078,0.924,4.04,-
1366,6932987,5559,4.64,2.60,19.254,31.269,0.533,3.17,-
1367,6934291,4927,4.64,1.41,0.568,29.832,5.058,3.27,-
1391,8958035,6012,4.51,8.80,7.981,10.074,0.028,6.43,-
1396,9455556,5667,4.57,1.74,3.701,24.371,0.073,5.72,-
1397,9427402,3957,4.71,3.50,6.247,41.954,0.162,5.17,-
1399,9100484,4775,4.66,2.40,8.751,20.358,4.556,3.80,-
1403,9214942,4209,4.57,1.89,18.754,29.412,0.061,6.47,-
1404,8874090,4400,4.73,1.91,13.324,33.460,0.330,4.34,-
1408,9150827,4036,4.47,1.25,14.534,25.488,0.028,6.42,-
1420,11026304,4682,4.57,4.50,13.352,43.018,3.213,5.37,-
1422,11497958,3424,5.08,0.90,3.621,35.856,0.056,8.25,-
1425,11254382,5639,4.85,2.31,2.054,21.697,3.270,3.95,-
1436,11389771,5616,4.52,1.41,2.509,22.686,0.208,2.91,-
1439,11027624,5967,4.31,7.80,394.611,17.829,0.447,0.47,-
1445,11336883,6336,4.36,1.28,7.169,5.269,0.032,0.42,-
1456,7832356,5604,4.31,9.40,7.887,14.965,0.019,11.29,-
1459,9761199,4060,4.40,4.12,0.692,1.383,0.000,4.16,E
1465,11702948,5619,4.85,8.00,9.771,13.408,0.034,9.38,-
1474,12365184,6498,4.08,9.30,69.733,4.492,0.012,0.86,-
1475,4770365,4097,4.59,1.44,1.609,26.839,0.026,18.85,-
1476,12406749,5275,4.52,4.30,56.364,27.747,2.865,4.59,-
1477,7811397,5346,4.71,9.10,339.078,21.958,0.053,11.36,-
1480,7512982,4948,4.74,1.10,7.004,26.757,0.058,4.92,-
1481,9597806,5620,4.47,3.20,5.101,18.632,0.021,7.52,-
1489,9823487,5014,4.61,2.03,16.005,21.942,0.007,8.96,-
1491,9726659,5059,4.40,2.54,3.149,26.656,0.347,4.23,-
1515,7871954,4103,4.57,0.99,1.937,41.897,0.141,2.95,-
1521,9818462,4962,4.42,1.93,25.942,31.046,0.378,3.76,-
1531,11764462,5811,4.41,1.46,5.699,22.986,0.026,1.46,-
1537,9872292,6063,4.37,0.82,10.191,12.776,0.010,0.43,N
1546,5475431,5505,4.97,9.50,0.918,0.913,0.000,15.20,E
1547,5283458,5901,4.61,11.30,30.694,7.782,0.003,10.18,-
1552,7984047,4650,4.46,10.80,77.634,36.738,0.227,6.28,-
1557,5371776,4783,4.25,1.06,1.499,14.176,0.004,10.49,-
1558,10019763,5874,4.48,36.00,32.505,21.011,0.109,3.49,-
1576,5299459,5445,4.35,3.20,10.416,25.892,0.440,4.08,-
1584,9941066,4147,4.52,1.37,5.871,32.049,0.027,8.88,-
1588,5617854,4106,4.58,1.24,3.517,31.026,0.426,5.19,-
1589,5301750,5755,4.42,1.24,4.224,19.320,0.444,1.93,-
1590,5542466,4830,4.50,1.18,2.356,32.244,3.861,4.21,-
1612,10963065,6043,4.16,0.78,2.465,12.444,0.172,0.22,-
1615,4278221,5534,4.56,1.17,1.341,7.732,0.003,7.33,-
1616,9015738,5942,4.53,1.38,13.933,11.589,1.561,0.88,-
1618,7215603,6086,4.32,0.77,2.364,7.087,0.021,0.32,-
1619,4276716,4621,4.62,0.80,20.666,30.445,3.773,2.22,-
1621,5561278,5945,4.32,2.48,20.310,18.451,0.148,0.50,-
1627,6543893,5207,4.59,1.55,5.939,25.487,0.404,6.89,-
1628,6975129,5993,4.15,2.85,19.747,5.692,0.943,4.96,-
1637,10686864,4894,4.87,1.43,2.970,12.953,0.065,5.27,-
1646,11046025,4837,4.30,0.94,3.720,31.419,0.100,4.03,-
1649,11337141,3767,4.77,1.06,4.044,25.729,0.436,5.46,-
