star pmax prot height tau quality
793 5 4.660 0.316 1.885 50.95
793 10 9.034 0.271 4.383 72.16
793 30 27.757 0.942 26.654 72.84
793 50 29.597 1.034 38.622 47.77
793 100 29.822 0.725 33.041 45.86
794 1 0.838 0.317 0.381 57.62
794 3 4.047 0.198 1.069 6.90
794 5 6.950 0.380 3.590 42.25
794 10 9.280 0.572 11.459 30.97
794 30 17.905 1.070 24.438 632.58
794 50 17.967 0.875 20.821 303.64
794 100 17.824 0.456 16.689 68.74
795 1 0.818 0.312 0.358 40.96
795 3 2.596 0.321 1.065 41.55
795 5 4.579 0.327 1.832 40.93
795 10 7.174 0.126 2.085 5.07
795 30 22.218 1.473 95.633 13519.18
795 50 22.382 1.220 76.395 3440.28
795 100 22.075 0.704 48.984 199.56
796 1 0.818 0.324 0.365 46.57
796 3 2.657 0.189 1.080 37.42
796 5 6.152 0.684 6.084 161.72
796 10 6.970 0.309 4.073 3.60
796 30 13.347 0.872 17.166 271.66
796 50 13.388 0.666 16.264 205.97
796 100 13.449 0.223 2.548 7.49
797 1 0.961 0.165 0.416 66.91
797 3 3.291 0.719 3.225 379.73
797 5 3.802 0.269 1.816 3.66
797 10 7.358 0.986 9.661 692.89
797 30 7.644 0.647 6.902 201.87
797 50 7.931 0.344 5.749 193.75
797 100 10.629 0.129 2351.920 10454.00
798 1 0.818 0.327 0.367 44.07
798 3 2.535 0.320 1.031 46.41
798 5 4.456 0.298 1.707 47.50
798 10 16.924 1.016 65.449 516.34
798 30 16.924 1.666 260.383 229986.07
798 50 16.904 1.400 225.837 19970.63
798 100 16.740 0.709 149.273 680.96
799 1 0.818 0.310 0.358 42.85
799 3 nan -inf nan nan
799 5 7.522 1.296 16.845 1267.16
799 10 7.808 1.446 21.740 6496.49
799 30 7.828 0.694 19.121 242.41
799 50 7.256 0.277 7.044 8.24
799 100 65.080 0.314 35.015 14.65
800 1 0.961 0.153 0.425 37.05
800 3 3.005 0.282 1.451 14.42
800 5 6.745 0.825 6.876 115.67
800 10 7.358 0.629 40.353 74.88
800 30 14.349 1.173 36.007 1090.39
800 50 14.369 0.981 32.888 3150.22
800 100 14.533 0.408 31.797 605.84
801 1 1.124 0.252 0.507 15.75
801 3 2.024 0.846 1.734 109.87
801 5 2.064 0.628 1.484 114.91
801 10 2.044 0.335 0.925 32.31
801 30 8.585 0.031 2.395 4.43
801 50 19.724 0.081 7.771 53.59
801 100 20.235 0.043 5.613 13.83
802 1 0.838 0.291 0.344 30.43
802 3 2.596 0.284 0.991 39.22
802 5 5.151 0.294 1.997 34.37
802 10 9.770 0.324 5.101 99.63
802 30 32.642 0.953 58.020 451.98
802 50 33.910 1.096 57.938 1580.55
802 100 33.869 0.660 49.316 79.50
803 1 0.818 0.326 0.367 44.89
803 3 2.616 0.183 1.024 31.43
803 5 nan -inf nan nan
803 10 8.544 0.235 3.498 2.12
803 30 15.269 0.889 16.848 385.58
803 50 15.248 0.615 13.964 121.51
803 100 14.328 0.230 2.177 3.11
804 1 0.818 0.327 0.367 43.74
804 3 2.535 0.337 1.073 43.49
804 5 4.251 0.323 1.699 40.25
804 10 7.869 0.205 3.378 44.98
804 30 25.529 0.183 10.764 29.24
804 50 46.439 0.472 38.595 88.48
804 100 96.374 0.422 36.354 12.43
805 1 0.838 0.261 0.356 49.91
805 3 3.229 0.172 1.236 12.73
805 5 5.662 0.354 2.987 22.15
805 10 7.542 0.223 3.186 0.97
805 30 13.674 1.327 52.942 4494.57
805 50 13.633 1.080 41.597 2151.55
805 100 13.470 0.398 34.933 450.57
806 1 0.818 0.327 0.367 43.88
806 3 2.535 0.335 1.069 43.43
806 5 4.251 0.331 1.755 44.68
806 10 8.666 0.101 2.780 7.17
806 30 18.355 1.125 127.050 1393.13
806 50 18.253 0.704 242.793 914.13
806 100 16.679 0.279 2.461 1.87
807 1 0.818 0.327 0.367 43.92
807 3 2.535 0.333 1.064 43.56
807 5 4.354 0.326 1.772 40.77
807 10 8.687 0.207 3.744 39.31
807 30 23.690 0.422 14.216 111.37
807 50 39.571 0.230 13.409 14.27
807 100 89.158 0.216 47.055 29.89
808 1 0.838 0.181 0.355 27.92
808 3 4.272 0.420 1.322 9.04
808 5 4.415 0.323 2.031 16.74
808 10 11.487 1.200 28.304 717.69
808 30 11.794 1.188 29.978 1217.06
808 50 11.773 0.867 35.680 720.84
808 100 11.405 0.187 1.474 2.54
809 1 0.920 0.321 0.452 34.71
809 3 2.800 0.870 17.573 282.08
809 5 5.580 1.211 15.270 196.54
809 10 5.662 1.352 13.879 1063.35
809 30 5.723 0.796 10.754 851.51
809 50 5.866 0.184 11.313 170.26
809 100 8.544 0.120 1072.362 3639.27
810 1 0.818 0.328 0.367 43.97
810 3 2.535 0.332 1.058 42.73
810 5 4.272 0.333 1.788 45.30
810 10 9.627 0.227 4.188 23.45
810 30 29.331 0.866 63.911 432.02
810 50 30.353 0.827 63.211 574.37
810 100 30.128 0.361 43.915 49.47
811 1 0.818 0.321 0.364 42.59
811 3 2.535 0.324 1.053 44.55
811 5 4.476 0.314 1.761 40.16
811 10 8.605 0.196 3.465 52.50
811 30 25.570 1.324 85.982 1382.27
811 50 25.979 1.135 93.824 2566.89
811 100 25.570 0.622 69.304 129.01
812 1 0.797 0.180 0.050 2.50
812 3 nan -inf nan nan
812 5 5.948 0.459 2.936 45.01
812 10 9.525 0.657 5.124 67.12
812 30 25.938 0.611 19.284 69.52
812 50 30.026 0.480 20.956 129.31
812 100 26.204 0.121 5.079 0.86
813 1 0.818 0.327 0.366 43.56
813 3 2.596 0.216 1.119 27.47
813 5 5.090 0.299 1.604 16.68
813 10 13.122 0.419 4.748 14.36
813 30 30.558 0.775 34.531 47.02
813 50 31.825 0.747 62.819 138.02
813 100 32.458 0.277 120.591 61.31
814 1 0.818 0.327 0.368 45.02
814 3 2.514 0.317 1.026 54.29
814 5 4.681 0.169 1.808 32.09
814 10 9.382 0.494 34.150 85.88
814 30 19.459 1.453 137.487 7371.97
814 50 19.540 1.159 113.768 2571.41
814 100 19.357 0.625 104.930 801.11
815 1 0.838 0.189 0.347 19.82
815 3 2.535 0.318 1.049 45.41
815 5 4.762 0.203 1.875 19.79
815 10 10.240 0.422 4.639 44.22
815 30 27.655 0.197 11.455 19.03
815 50 49.260 0.660 42.774 93.81
815 100 55.167 0.629 62.757 172.03
816 1 0.777 0.076 0.037 2.19
816 3 2.800 0.125 0.960 3.76
816 5 5.090 0.626 2.802 54.56
816 10 13.838 0.789 16.624 45.05
816 30 14.717 0.943 16.324 452.78
816 50 14.737 0.714 14.255 169.83
816 100 14.655 0.290 3.258 9.22
817 1 0.818 0.325 0.366 44.13
817 3 2.718 0.273 0.994 44.88
817 5 4.946 0.176 1.938 30.73
817 10 11.630 0.792 13.674 241.49
817 30 13.102 0.529 11.362 84.62
817 50 12.223 0.245 2.509 2.77
817 100 64.528 0.190 24.485 11.11
818 1 0.818 0.327 0.367 43.96
818 3 2.555 0.333 1.072 43.71
818 5 4.374 0.324 1.766 43.91
818 10 9.300 0.135 11.684 11.96
818 30 18.784 1.029 39.592 1178.54
818 50 18.866 0.707 29.101 211.61
818 100 17.742 0.309 3.094 3.76
819 1 0.797 0.209 0.303 31.78
819 3 4.170 0.431 2.221 39.65
819 5 4.517 0.371 2.239 15.94
819 10 12.141 1.148 25.493 608.14
819 30 13.081 1.125 17.614 301.24
819 50 13.122 0.858 17.276 298.49
819 100 13.245 0.267 2.669 11.65
820 1 0.818 0.189 0.361 31.82
820 3 4.354 0.416 1.578 13.22
820 5 4.701 0.633 2.653 58.91
820 10 13.041 0.826 14.009 111.10
820 30 14.921 0.873 15.149 506.24
820 50 14.982 0.643 13.420 313.22
820 100 14.901 0.248 2.632 5.97
821 1 0.818 0.327 0.366 44.20
821 3 2.575 0.326 1.060 43.63
821 5 4.456 0.322 1.817 50.68
821 10 8.769 0.199 3.547 33.00
821 30 24.671 1.008 169.069 784.08
821 50 25.570 0.205 57.378 4.78
821 100 49.812 0.908 113.835 204.34
822 1 0.818 0.164 0.048 2.21
822 3 nan -inf nan nan
822 5 5.396 0.140 1.932 3.89
822 10 11.998 1.216 33.697 808.70
822 30 12.448 0.776 102.429 400.38
822 50 11.773 0.372 22.589 22.54
822 100 73.767 0.364 39.754 9.39
823 1 1.369 0.613 1.359 63.81
823 3 1.840 0.433 1.105 53.90
823 5 3.904 0.315 1.182 9.57
823 10 6.234 0.095 1.447 8.23
823 30 18.416 0.287 8.670 31.78
823 50 28.187 0.213 10.341 28.86
823 100 19.929 0.088 4.679 4.43
824 1 0.818 0.327 0.368 44.09
824 3 2.535 0.333 1.062 43.11
824 5 4.231 0.335 1.788 48.41
824 10 8.442 0.203 3.545 50.18
824 30 22.831 1.015 53.814 3384.90
824 50 23.077 0.587 55.568 104.29
824 100 20.706 0.202 3.434 1.34
825 1 0.838 0.203 0.378 30.14
825 3 2.821 0.302 1.075 65.29
825 5 7.440 0.461 3.264 22.15
825 10 9.096 0.640 10.352 50.05
825 30 17.987 0.953 19.551 172.34
825 50 18.151 0.777 16.695 58.37
825 100 18.478 0.447 14.501 63.73
826 1 0.818 0.320 0.364 43.35
826 3 2.596 0.295 0.996 47.44
826 5 4.517 0.197 1.752 63.24
826 10 16.270 0.875 26.172 154.96
826 30 17.231 1.423 78.053 5534.56
826 50 17.251 1.107 72.337 1500.99
826 100 17.067 0.534 57.070 243.40
827 1 0.818 0.327 0.367 43.91
827 3 2.535 0.331 1.070 47.64
827 5 4.517 0.319 1.793 41.21
827 10 11.467 0.207 3.975 13.52
827 30 31.416 1.390 151.593 1555.48
827 50 31.600 1.515 206.680 11770.52
827 100 31.580 1.204 148.087 1488.66
828 1 0.879 0.080 0.037 2.14
828 3 3.597 0.334 1.977 54.23
828 5 4.272 0.124 1.409 1.49
828 10 8.932 0.541 5.941 41.76
828 30 19.847 0.394 10.445 16.22
828 50 31.825 0.365 11.604 11.45
828 100 32.990 0.167 10.468 11.90
829 1 1.104 0.140 0.050 2.90
829 3 nan -inf nan nan
829 5 5.744 0.646 5.292 125.09
829 10 10.935 1.021 15.538 168.09
829 30 11.467 0.950 13.172 148.64
829 50 11.508 0.689 12.772 143.98
829 100 11.855 0.153 1.626 3.95
830 1 0.818 0.327 0.367 43.83
830 3 2.535 0.332 1.061 43.31
830 5 4.374 0.208 1.833 25.25
830 10 9.055 0.345 3.730 38.56
830 30 27.839 0.318 14.337 32.16
830 50 47.686 0.333 20.917 18.34
830 100 55.228 0.194 23.246 51.92
831 1 0.920 0.334 0.597 113.16
831 3 2.248 0.197 0.675 2.20
831 5 6.357 1.346 30.915 1835.98
831 10 6.439 0.426 29.087 17.09
831 30 12.714 1.433 111.015 2648.38
831 50 12.714 1.194 82.569 5227.62
831 100 12.693 0.383 51.137 807.43
832 1 0.654 0.131 0.039 2.82
832 3 4.170 0.116 1.325 27.29
832 5 8.176 0.457 3.035 15.06
832 10 9.137 0.358 4.687 31.24
832 30 31.416 1.279 75.081 715.71
832 50 32.193 1.384 119.929 1039.77
832 100 32.336 1.066 137.955 503.37
833 1 0.838 0.318 0.371 45.21
833 3 4.681 0.315 0.334 1.86
833 5 4.987 0.530 2.590 148.86
833 10 13.490 0.332 4.463 13.59
833 30 25.672 1.657 204.341 16358.27
833 50 25.775 1.564 164.572 4093.06
833 100 25.693 1.177 230.322 706.71
834 1 1.145 1.013 3.545 263.54
834 3 1.186 1.270 2.568 1326.18
834 5 1.186 1.026 2.314 1312.90
834 10 1.206 0.265 1.963 392.04
834 30 1.124 0.288 0.134 3.94
834 50 24.364 0.212 19.498 104.65
834 100 23.751 0.124 14.840 70.31
835 1 0.818 0.325 0.367 46.10
835 3 nan -inf nan nan
835 5 5.764 0.439 2.869 104.38
835 10 13.531 0.762 9.649 47.32
835 30 16.209 0.667 14.933 119.96
835 50 16.045 0.343 8.099 16.17
835 100 64.038 0.348 34.747 52.66
836 1 0.838 0.299 0.368 52.47
836 3 4.906 0.403 1.209 7.61
836 5 4.987 0.422 2.814 54.27
836 10 14.512 1.108 27.739 181.83
836 30 16.924 0.897 11.897 21.72
836 50 17.251 0.787 11.586 19.98
836 100 17.926 0.469 11.416 39.32
837 1 0.818 0.327 0.367 43.88
837 3 2.535 0.335 1.068 43.18
837 5 4.292 0.330 1.758 41.06
837 10 8.360 0.207 3.601 35.25
837 30 25.059 0.274 12.548 52.33
837 50 53.982 0.240 13.228 5.93
837 100 104.488 0.237 -11.429 -0.00
838 1 0.818 0.327 0.367 43.89
838 3 2.535 0.334 1.067 43.47
838 5 4.272 0.333 1.779 44.17
838 10 8.687 0.227 3.862 34.03
838 30 35.627 0.538 38.430 94.63
838 50 37.814 0.931 64.748 756.20
838 100 38.652 0.586 64.064 129.46
839 1 0.818 0.326 0.367 44.06
839 3 2.678 0.308 1.043 38.31
839 5 4.619 0.215 1.935 48.97
839 10 13.695 0.776 14.019 128.41
839 30 15.228 0.963 17.831 288.37
839 50 15.248 0.718 15.815 220.34
839 100 15.085 0.296 3.293 10.32
840 1 0.818 0.318 0.365 43.02
840 3 2.555 0.316 1.034 42.62
840 5 4.435 0.291 1.678 45.50
840 10 8.748 0.223 3.622 37.88
840 30 27.839 1.479 127.607 5776.18
840 50 28.248 1.401 103.025 12751.58
840 100 28.125 0.947 109.077 588.51
841 1 0.858 0.307 0.366 46.10
841 3 4.068 0.957 13.642 291.16
841 5 4.088 1.194 139.218 3479.63
841 10 8.155 1.319 131.682 943.66
841 30 8.155 0.985 106.990 3892.63
841 50 8.033 0.555 46.526 314.01
841 100 12.059 0.157 1.283 3.94
842 1 0.818 0.327 0.368 44.22
842 3 2.555 0.325 1.052 43.42
842 5 4.435 0.306 1.739 44.98
842 10 9.116 0.257 4.374 91.69
842 30 42.821 0.984 85.626 111.17
842 50 42.781 1.318 105.135 2859.37
842 100 43.659 1.098 67.270 173.93
843 1 0.818 0.300 0.350 38.42
843 3 2.575 0.316 1.074 52.66
843 5 4.783 0.304 1.805 45.78
843 10 15.984 0.477 8.982 17.78
843 30 17.067 0.082 4.662 0.21
843 50 34.462 1.109 52.359 196.48
843 100 35.320 0.884 33.777 66.38
844 1 0.818 0.327 0.367 44.20
844 3 2.555 0.334 1.074 44.62
844 5 4.313 0.315 4.643 32.16
844 10 9.239 0.283 4.748 97.33
844 30 26.061 1.558 273.933 17981.05
844 50 26.183 1.458 280.432 19147.48
844 100 25.979 0.988 320.380 2595.38
845 1 0.818 0.318 0.365 42.95
845 3 2.637 0.288 0.996 39.50
845 5 5.703 0.312 2.156 25.04
845 10 8.789 0.384 5.107 130.62
845 30 27.062 0.477 20.901 77.61
845 50 53.961 0.344 25.261 8.79
845 100 68.433 0.604 77.208 92.90
846 1 0.818 0.319 0.364 42.81
846 3 2.555 0.298 1.010 51.18
846 5 5.253 0.233 2.361 29.71
846 10 8.728 0.204 3.752 18.01
846 30 18.600 0.421 10.273 42.99
846 50 50.323 0.314 3.584 1.87
846 100 81.248 0.238 37.987 25.74
847 1 0.797 0.180 0.038 3.02
847 3 5.437 0.129 0.240 2.53
847 5 5.396 0.235 2.570 46.77
847 10 10.445 0.425 6.228 169.99
847 30 30.435 0.752 34.155 234.31
847 50 34.543 0.351 16.636 8.37
847 100 93.103 0.843 109.361 43.06
848 1 0.818 0.187 0.357 27.13
848 3 3.107 0.183 1.256 31.96
848 5 5.498 0.596 3.162 76.19
848 10 12.427 0.654 9.352 21.30
848 30 13.143 0.463 11.205 48.72
848 50 13.000 0.258 5.236 13.67
848 100 52.040 0.140 17.804 10.27
849 1 0.818 0.192 0.362 26.59
849 3 2.555 0.299 1.009 45.56
849 5 5.171 0.310 2.039 33.40
849 10 9.402 0.322 4.410 68.95
849 30 46.030 1.464 305.626 2409.39
849 50 45.826 1.838 1354.993 300710.59
849 100 45.949 1.708 1067.844 55892.90
850 1 0.797 0.317 0.353 48.23
850 3 2.555 0.329 1.034 48.13
850 5 4.251 0.183 1.723 37.63
850 10 8.196 0.423 19.675 51.98
850 30 16.454 0.997 62.516 983.10
850 50 16.413 0.651 78.659 512.73
850 100 15.207 0.249 2.270 3.20
851 1 0.818 0.324 0.371 44.60
851 3 2.555 0.310 1.023 44.69
851 5 4.885 0.313 1.936 37.20
851 10 8.605 0.376 5.375 180.68
851 30 17.680 0.064 3.990 0.40
851 50 47.359 1.206 176.967 3289.54
851 100 47.645 1.004 206.249 1309.94
852 1 0.818 0.326 0.367 43.68
852 3 2.555 0.330 1.068 43.24
852 5 4.599 0.298 1.708 31.98
852 10 8.748 0.211 3.756 47.04
852 30 36.567 1.002 84.268 641.07
852 50 38.018 1.326 94.480 7182.38
852 100 38.406 0.920 79.915 256.02
853 1 0.818 0.327 0.367 44.07
853 3 2.535 0.332 1.060 43.81
853 5 4.313 0.201 1.803 28.66
853 10 8.932 0.253 4.187 53.54
853 30 29.719 0.794 28.213 103.76
853 50 32.929 0.912 38.206 107.45
853 100 33.460 0.614 41.116 130.18
854 1 1.226 1.384 9.907 7154.91
854 3 1.247 1.577 7.869 14221.35
854 5 1.247 1.316 6.056 6043.66
854 10 1.247 0.403 4.783 1588.29
854 30 1.165 0.373 0.138 3.56
854 50 43.680 0.277 24.598 32.92
854 100 44.927 0.148 18.570 20.04
855 1 0.818 0.327 0.369 45.09
855 3 2.596 0.323 1.060 43.61
855 5 nan -inf nan nan
855 10 9.627 0.555 9.393 254.40
855 30 29.413 1.320 87.112 530.85
855 50 30.108 1.414 143.666 457.88
855 100 30.292 1.088 147.337 273.04
856 1 0.920 0.270 0.474 81.08
856 3 4.517 0.544 2.485 56.83
856 5 5.784 0.818 7.969 58.49
856 10 11.855 1.309 47.145 177.45
856 30 11.876 1.437 67.336 4208.92
856 50 11.876 1.143 51.623 3479.93
856 100 11.957 0.276 38.441 806.38
857 1 0.838 0.296 0.358 40.06
857 3 3.291 0.198 1.240 19.08
857 5 5.764 0.222 2.210 17.98
857 10 10.547 0.363 5.494 8.01
857 30 24.834 1.197 70.374 212.56
857 50 24.896 1.055 48.556 158.29
857 100 24.671 0.700 57.650 197.88
858 1 0.818 0.323 0.366 44.94
858 3 2.698 0.190 1.078 29.37
858 5 4.906 0.153 1.805 23.14
858 10 10.240 0.616 11.308 130.41
858 30 20.011 0.991 20.847 92.54
858 50 20.154 0.797 16.506 51.60
858 100 19.949 0.452 14.332 52.89
859 1 0.818 0.327 0.367 43.96
859 3 2.555 0.324 1.051 43.67
859 5 4.579 0.198 1.797 25.61
859 10 15.575 0.521 13.720 33.97
859 30 16.066 1.062 37.090 2113.09
859 50 16.004 0.737 35.418 397.80
859 100 15.125 0.276 2.276 2.37
860 1 0.899 0.286 0.377 53.06
860 3 3.781 0.359 1.913 36.28
860 5 6.377 0.362 2.596 10.35
860 10 10.118 1.273 22.709 763.89
860 30 10.322 1.073 18.077 1672.55
860 50 10.261 0.724 16.366 398.08
860 100 67.043 0.269 76.520 266.53
861 1 0.838 0.180 0.342 20.17
861 3 2.882 0.280 1.104 65.59
861 5 3.577 0.041 0.740 0.31
861 10 11.201 1.466 45.201 5153.65
861 30 11.528 1.254 36.373 3419.38
861 50 11.467 0.878 34.835 651.71
861 100 10.772 0.155 1.355 2.63
862 1 0.838 0.071 0.031 2.01
862 3 2.923 0.214 1.314 35.26
862 5 5.703 0.284 2.653 53.79
862 10 8.953 0.141 3.107 1.20
862 30 32.765 0.926 40.737 53.47
862 50 33.807 0.872 35.711 150.82
862 100 34.789 0.651 30.070 46.97
863 1 0.818 0.304 0.358 40.64
863 3 2.575 0.175 0.980 32.05
863 5 5.662 0.183 1.680 21.29
863 10 15.902 0.963 28.018 164.99
863 30 16.454 1.219 61.153 979.83
863 50 16.434 0.843 46.685 204.08
863 100 15.841 0.308 92.969 85.27
864 1 0.818 0.321 0.364 43.46
864 3 2.678 0.288 1.041 48.60
864 5 4.885 0.312 2.625 78.34
864 10 8.748 0.241 3.760 27.16
864 30 27.778 0.499 15.182 29.18
864 50 30.169 0.200 11.311 6.61
864 100 51.243 0.168 19.608 13.66
865 1 0.818 0.303 0.357 41.09
865 3 2.862 0.143 0.956 17.22
865 5 5.989 0.244 2.533 29.11
865 10 17.067 0.700 13.085 22.77
865 30 17.374 1.187 25.615 852.32
865 50 17.374 0.906 20.670 213.75
865 100 16.720 0.395 3.425 6.78
866 1 0.818 0.326 0.366 43.45
866 3 2.535 0.333 1.066 43.92
866 5 4.456 0.319 1.756 35.33
866 10 9.055 0.224 4.004 35.13
866 30 38.795 0.339 11.512 4.97
866 50 38.141 0.637 50.283 159.98
866 100 37.609 0.293 19.103 9.04
867 1 0.797 0.269 0.329 40.79
867 3 3.066 0.192 1.202 27.68
867 5 5.989 0.209 2.295 20.51
867 10 9.259 0.199 3.590 5.39
867 30 44.089 0.913 81.572 69.32
867 50 44.354 1.378 121.733 2174.61
867 100 45.397 1.229 89.686 1581.35
868 1 0.818 0.309 0.358 40.21
868 3 2.575 0.304 1.023 42.91
868 5 4.599 0.336 1.963 60.92
868 10 18.437 0.493 17.537 26.09
868 30 18.559 1.410 67.472 7355.69
868 50 18.559 1.082 60.448 1211.41
868 100 18.273 0.554 45.257 240.42
869 1 0.818 0.226 0.307 28.13
869 3 nan -inf nan nan
869 5 6.050 0.206 2.499 5.82
869 10 11.814 1.031 18.560 617.55
869 30 12.795 0.638 10.925 62.24
869 50 11.835 0.296 2.172 2.52
869 100 80.145 0.231 34.668 6.89
870 1 0.797 0.321 0.359 48.13
870 3 2.555 0.190 1.036 26.92
870 5 5.028 0.325 2.007 31.80
870 10 8.973 0.406 3.918 84.15
870 30 37.446 0.601 21.942 50.95
870 50 45.111 0.837 42.116 60.71
870 100 49.199 0.679 116.245 128.41
871 1 0.818 0.327 0.367 43.87
871 3 2.535 0.331 1.059 43.49
871 5 4.415 0.200 1.790 24.00
871 10 8.626 0.182 3.396 31.84
871 30 20.706 1.055 47.490 702.99
871 50 20.889 0.661 47.562 153.94
871 100 18.989 0.262 2.993 2.08
872 1 0.818 0.173 0.350 39.93
872 3 2.616 0.114 0.796 1.58
872 5 6.786 1.462 38.449 1274.18
872 10 6.827 1.660 43.734 19866.65
872 30 6.806 1.079 29.220 1630.85
872 50 6.704 0.437 20.878 266.67
872 100 9.913 0.206 1.047 2.65
873 1 0.818 0.327 0.367 43.88
873 3 2.535 0.333 1.064 43.12
873 5 4.333 0.333 1.794 40.92
873 10 8.666 0.332 3.601 50.37
873 30 32.418 0.738 49.317 171.66
873 50 34.421 0.968 61.256 656.05
873 100 34.707 0.524 36.217 36.87
874 1 0.756 0.164 0.305 22.89
874 3 2.555 0.204 1.150 45.90
874 5 5.028 0.174 1.855 23.82
874 10 9.341 0.294 4.716 37.13
874 30 23.955 0.327 11.827 3.15
874 50 42.862 1.124 87.132 669.40
874 100 43.803 0.866 77.011 221.32
875 1 0.899 0.091 0.272 7.09
875 3 2.780 0.374 1.623 103.67
875 5 6.398 0.206 2.927 6.93
875 10 12.080 0.300 5.741 19.32
875 30 30.067 1.800 1163.456 33877.32
875 50 30.190 1.813 730.896 47790.60
875 100 30.230 1.557 359.564 19491.59
876 1 0.818 0.325 0.367 44.01
876 3 2.616 0.333 1.089 42.07
876 5 4.313 0.284 1.584 57.37
876 10 9.545 0.101 3.080 1.08
876 30 20.215 1.719 356.091 229787.05
876 50 20.235 1.508 338.700 15133.77
876 100 20.133 0.955 756.502 12222.62
877 1 0.818 0.206 0.319 29.07
877 3 2.821 0.179 1.100 81.24
877 5 6.806 0.408 3.002 58.01
877 10 8.564 0.260 3.331 5.10
877 30 25.121 1.562 95.097 1101.59
877 50 25.468 1.447 103.884 1623.36
877 100 25.529 1.048 171.003 724.23
878 1 0.818 0.177 0.351 31.46
878 3 4.803 0.294 1.493 16.82
878 5 5.130 0.326 2.394 13.82
878 10 9.872 0.134 11.210 1.77
878 30 19.990 1.464 50.809 294.46
878 50 20.092 1.265 51.739 129.65
878 100 20.051 0.764 41.877 95.20
879 1 1.022 0.243 0.499 130.20
879 3 4.476 0.583 1.984 19.20
879 5 5.008 0.518 2.712 18.15
879 10 11.426 0.889 14.837 139.58
879 30 12.162 0.914 12.672 145.85
879 50 12.284 0.693 12.609 204.25
879 100 12.795 0.195 2.208 5.08
880 1 0.818 0.327 0.367 43.84
880 3 2.535 0.332 1.063 44.04
880 5 4.415 0.318 1.730 37.94
880 10 7.420 0.110 2.329 8.24
880 30 21.114 1.392 78.203 2960.55
880 50 21.257 1.115 59.285 393.94
880 100 20.951 0.611 65.088 283.00
881 1 0.818 0.327 0.367 44.07
881 3 2.535 0.323 1.046 48.20
881 5 4.701 0.196 1.837 26.53
881 10 12.570 0.603 13.787 129.00
881 30 14.594 0.443 8.727 35.62
881 50 13.899 0.170 3.421 2.87
881 100 65.183 0.177 23.571 10.79
882 1 0.818 0.200 0.365 28.47
882 3 2.718 0.171 1.038 30.75
882 5 6.050 0.355 2.434 31.72
882 10 7.767 0.153 2.652 1.92
882 30 34.175 0.779 45.066 45.33
882 50 35.218 0.940 54.646 338.66
882 100 35.954 0.739 60.672 104.06
883 1 0.899 0.104 0.245 10.11
883 3 3.495 0.458 1.704 89.92
883 5 5.069 0.230 2.259 9.53
883 10 10.343 0.862 10.725 247.82
883 30 11.773 0.694 9.783 92.53
883 50 11.651 0.444 7.078 41.00
883 100 26.061 0.060 49.392 11.47
884 1 0.818 0.326 0.367 43.75
884 3 2.555 0.317 1.036 43.81
884 5 4.824 0.310 1.857 33.68
884 10 9.034 0.176 3.574 44.87
884 30 25.100 1.142 49.065 577.36
884 50 25.754 0.957 44.514 321.94
884 100 24.487 0.433 7.630 5.27
885 1 0.818 0.317 0.363 43.10
885 3 2.616 0.197 1.075 30.71
885 5 5.437 0.284 1.904 26.97
885 10 17.905 0.811 49.864 101.53
885 30 18.396 1.608 99.588 27793.66
885 50 18.416 1.364 86.633 9399.26
885 100 18.335 0.769 59.579 642.35
886 1 0.879 0.105 -1.116 -1.52
886 3 3.352 0.088 0.997 3.87
886 5 nan -inf nan nan
886 10 9.832 1.284 22.007 2843.75
886 30 10.343 0.715 12.803 127.01
886 50 10.016 0.384 2.899 9.41
886 100 62.260 0.222 31.441 75.57
887 1 0.818 0.322 0.368 44.94
887 3 2.555 0.195 1.045 30.04
887 5 5.825 0.204 1.930 9.84
887 10 9.259 0.341 10.314 15.47
887 30 18.498 1.323 58.708 766.20
887 50 18.621 1.084 54.945 597.04
887 100 18.580 0.574 53.348 285.21
888 1 0.818 0.324 0.364 43.27
888 3 2.575 0.319 1.044 41.30
888 5 4.681 0.309 1.794 34.26
888 10 8.462 0.278 3.985 58.15
888 30 31.191 1.297 117.373 2580.72
888 50 31.784 1.367 130.574 17594.25
888 100 31.804 0.926 213.725 1355.40
889 1 0.961 0.239 0.479 111.90
889 3 3.148 0.744 2.934 47.72
889 5 3.536 0.241 10.641 8.66
889 10 7.072 1.379 20.803 2237.17
889 30 7.154 0.991 20.801 1664.09
889 50 7.256 0.468 19.480 961.22
889 100 10.424 0.190 42.334 136.35
890 1 0.899 0.294 0.386 99.22
890 3 2.984 0.262 1.379 5.33
890 5 5.519 0.894 7.371 664.08
890 10 11.078 0.770 10.939 45.14
890 30 11.712 0.797 15.349 268.24
890 50 11.814 0.571 16.492 222.38
890 100 11.753 0.151 12.113 26.84
891 1 0.899 0.218 0.435 99.77
891 3 3.843 0.817 3.204 40.75
891 5 4.292 1.199 14189.269 368476.01
891 10 8.585 1.324 99.269 678.43
891 30 8.646 1.128 36.127 1171.45
891 50 8.748 0.729 27.771 756.87
891 100 12.775 0.152 25.579 216.25
892 1 0.818 0.322 0.362 42.36
892 3 2.514 0.331 1.057 46.27
892 5 4.722 0.207 1.863 17.22
892 10 7.542 0.333 3.153 87.01
892 30 32.397 0.677 22.822 101.04
892 50 37.364 0.764 50.610 149.87
