star pmax prot height tau quality
40 10 9.198 0.031 3.234 116.48
40 30 29.127 0.097 23.922 343.54
40 50 31.947 0.181 24.616 254.27
40 100 32.990 0.127 17.705 99.88
41 1 0.123 0.030 0.029 5.65
41 3 2.821 0.100 1.066 32.74
41 5 4.926 0.184 1.941 22.90
41 10 5.028 0.069 1.313 4.60
41 30 31.784 1.076 108.674 326.45
41 50 31.784 1.282 210.203 3012.38
41 100 31.866 1.119 243.230 3904.09
42 1 0.634 0.079 0.502 15.77
42 3 nan -inf nan nan
42 5 5.028 0.174 1.791 118.49
42 10 8.871 0.209 3.443 159.11
42 30 28.227 0.136 7.589 16.61
42 50 45.908 0.296 27.990 98.60
42 100 47.625 0.221 23.007 21.92
43 1 0.756 0.107 0.028 3.61
43 3 4.068 0.119 0.199 3.90
43 5 4.844 0.261 2.038 41.80
43 10 11.916 1.187 70.063 961.07
43 30 11.916 1.286 183.266 14174.30
43 50 11.835 0.969 190.202 13191.14
43 100 11.365 0.203 22.225 103.43
44 1 0.858 0.105 0.028 3.05
44 3 2.575 0.145 0.887 42.31
44 5 4.313 0.170 1.563 63.44
44 10 8.360 0.176 4.204 18.90
44 30 17.333 0.718 22.039 293.11
44 50 17.374 0.390 13.526 39.93
44 100 36.199 0.080 6.091 1.93
45 1 0.654 0.136 0.002 0.13
45 3 2.412 0.071 0.143 10.40
45 5 4.987 0.070 1.324 48.53
45 10 14.410 0.532 20.851 164.58
45 30 14.860 0.985 32.452 861.58
45 50 14.819 0.721 29.410 354.62
45 100 14.512 0.271 18.403 56.17
46 1 0.123 0.047 0.032 11.04
46 3 nan -inf nan nan
46 5 6.336 0.062 0.352 8.08
46 10 9.525 0.213 5.542 137.10
46 30 24.548 0.944 34.878 189.28
46 50 25.938 0.866 36.768 440.40
46 100 26.122 0.608 29.040 221.05
47 1 nan -inf nan nan
47 3 nan -inf nan nan
47 5 nan -inf nan nan
47 10 13.143 0.190 11.703 108.07
47 30 13.592 0.489 32.364 466.43
47 50 13.143 0.267 16.119 46.32
47 100 70.354 0.342 68.233 248.18
48 1 0.736 0.135 2.384 93.77
48 3 nan -inf nan nan
48 5 nan -inf nan nan
48 10 10.751 0.034 0.632 11.94
48 30 27.635 0.087 18.765 177.37
48 50 29.188 0.087 15.840 148.22
48 100 27.921 0.036 8.208 13.53
49 1 0.777 0.230 0.307 35.17
49 3 2.453 0.283 1.006 49.79
49 5 4.149 0.289 1.657 54.51
49 10 8.155 0.177 3.119 33.00
49 30 36.219 0.636 56.354 134.86
49 50 36.628 0.959 85.155 2734.00
49 100 37.037 0.629 92.346 284.11
50 1 0.818 0.098 0.025 3.06
50 3 3.005 0.086 0.162 6.63
50 5 4.374 0.090 1.348 64.61
50 10 16.209 0.173 4.644 15.87
50 30 31.580 0.746 29.224 35.81
50 50 32.111 0.670 33.896 60.05
50 100 32.152 0.424 25.301 43.06
51 1 0.736 0.121 0.023 4.13
51 3 2.902 0.105 1.477 52.77
51 5 3.352 0.143 1.889 68.96
51 10 6.561 0.096 2.089 10.79
51 30 9.464 0.074 2.364 8.89
51 50 55.310 0.390 57.239 66.98
51 100 55.719 0.354 36.726 31.34
52 1 0.123 0.036 0.030 7.32
52 3 nan -inf nan nan
52 5 4.333 0.062 0.974 40.90
52 10 8.442 0.094 3.168 207.38
52 30 23.117 0.297 28.756 28.89
52 50 46.705 0.894 122.509 486.95
52 100 47.993 0.751 72.894 101.95
53 1 0.675 0.133 0.037 4.40
53 3 2.473 0.126 0.952 35.30
53 5 3.229 0.133 1.237 59.83
53 10 11.160 0.167 0.829 2.55
53 30 27.103 0.424 28.263 74.61
53 50 54.247 0.765 67.457 49.56
53 100 55.024 0.627 47.256 107.00
54 1 0.123 0.042 0.032 10.45
54 3 nan -inf nan nan
54 5 4.987 0.057 0.297 10.61
54 10 12.816 0.072 0.688 10.38
54 30 27.042 0.115 8.751 53.72
54 50 44.089 0.136 23.900 112.98
54 100 67.860 0.178 50.752 89.87
55 1 0.613 0.123 0.023 5.14
55 3 2.657 0.056 0.121 6.68
55 5 6.602 0.051 0.250 4.35
55 10 nan -inf nan nan
55 30 20.644 0.868 102.826 2410.88
55 50 20.889 0.591 82.117 217.89
55 100 19.847 0.264 109.155 162.20
56 1 0.797 0.135 0.022 4.07
56 3 2.984 0.065 0.115 6.85
56 5 4.783 0.058 0.258 9.89
56 10 8.237 0.056 3.083 83.03
56 30 36.342 0.311 39.491 106.33
56 50 38.120 0.678 155.034 1832.49
56 100 38.693 0.533 112.470 485.48
57 1 0.634 0.135 0.022 5.26
57 3 nan -inf nan nan
57 5 nan -inf nan nan
57 10 nan -inf nan nan
57 30 24.323 0.582 33.924 1453.50
57 50 25.039 0.500 25.728 543.96
57 100 24.691 0.294 16.623 47.38
58 1 0.756 0.086 0.021 2.56
58 3 nan -inf nan nan
58 5 nan -inf nan nan
58 10 15.493 0.088 13.705 243.32
58 30 16.209 0.763 86.765 8915.59
58 50 16.209 0.670 90.821 3111.79
58 100 16.086 0.367 85.838 1073.41
59 1 0.123 0.034 0.028 5.10
59 3 3.454 0.080 0.149 5.18
59 5 4.313 0.115 1.647 95.49
59 10 9.157 0.115 3.653 52.74
59 30 41.288 0.172 14.338 7.41
59 50 43.169 0.535 30.400 81.74
59 100 50.854 0.524 33.396 28.13
60 1 0.572 0.130 0.782 43.61
60 3 nan -inf nan nan
60 5 nan -inf nan nan
60 10 15.596 0.099 16.728 320.45
60 30 15.943 0.732 58.703 9452.78
60 50 15.984 0.615 76.702 2953.13
60 100 15.861 0.312 57.032 430.18
61 1 0.613 0.131 0.022 5.29
61 3 nan -inf nan nan
61 5 nan -inf nan nan
61 10 nan -inf nan nan
61 30 24.548 0.509 17.171 23.25
61 50 28.207 0.512 53.042 102.52
61 100 27.103 0.363 92.558 330.28
62 1 0.715 0.076 2.123 48.64
62 3 nan -inf nan nan
62 5 3.700 0.062 1.350 81.54
62 10 9.954 0.068 2.393 27.77
62 30 23.138 0.378 20.048 287.76
62 50 24.323 0.319 16.865 102.09
62 100 22.157 0.155 3.938 3.55
63 1 0.307 0.059 0.038 9.70
63 3 3.107 0.236 1.051 102.88
63 5 4.722 0.157 1.727 28.62
63 10 8.707 0.279 3.344 51.58
63 30 32.050 0.136 7.810 14.16
63 50 43.067 0.188 15.906 61.38
63 100 91.754 0.285 40.623 38.80
64 1 0.756 0.132 0.022 4.12
64 3 nan -inf nan nan
64 5 nan -inf nan nan
64 10 14.574 0.110 8.702 81.66
64 30 14.574 0.467 26.848 2252.78
64 50 14.676 0.393 26.172 1310.74
64 100 14.594 0.173 20.448 135.38
65 1 0.715 0.105 0.220 13.54
65 3 2.391 0.221 0.928 54.03
65 5 4.068 0.234 1.583 59.58
65 10 11.426 0.333 5.177 31.76
65 30 14.798 0.196 6.325 4.90
65 50 28.881 0.263 10.179 13.58
65 100 85.541 0.416 58.501 124.87
66 1 0.695 0.130 0.022 4.67
66 3 2.698 0.059 0.126 6.94
66 5 5.376 0.070 0.279 8.22
66 10 9.402 0.118 3.717 105.68
66 30 35.647 0.699 69.988 290.19
66 50 36.138 1.021 104.632 2791.31
66 100 36.506 0.691 89.352 230.71
67 1 0.777 0.126 0.022 4.05
67 3 1.267 0.061 0.404 71.10
67 5 1.226 0.043 0.392 91.72
67 10 nan -inf nan nan
67 30 nan -inf nan nan
67 50 nan -inf nan nan
67 100 66.879 0.046 31.089 483.99
68 1 0.143 0.018 0.033 2.79
68 3 2.330 0.107 1.095 49.78
68 5 2.800 0.060 0.882 24.19
68 10 9.750 0.321 11.693 157.08
68 30 18.600 0.791 51.683 827.69
68 50 18.498 0.671 64.901 442.92
68 100 17.905 0.347 26.245 60.16
69 1 0.123 0.039 0.029 6.99
69 3 2.412 0.060 0.605 24.23
69 5 5.539 0.079 0.830 17.51
69 10 nan -inf nan nan
69 30 32.642 0.624 76.462 350.51
69 50 32.908 0.948 159.787 4688.48
69 100 32.765 0.645 352.255 1928.23
70 1 0.715 0.129 0.023 4.52
70 3 nan -inf nan nan
70 5 6.255 0.095 3.050 63.80
70 10 6.766 0.298 8.139 1504.63
70 30 7.011 0.149 4.103 97.74
70 50 6.745 0.118 0.939 2.34
70 100 42.985 0.289 164.566 10944.11
71 1 0.143 0.016 0.033 2.78
71 3 2.902 0.107 0.507 14.01
71 5 4.272 0.143 1.577 72.87
71 10 9.566 0.091 3.402 34.25
71 30 21.155 0.826 28.698 1363.21
71 50 21.217 0.559 21.584 177.96
71 100 20.583 0.262 7.073 14.36
72 1 0.756 0.123 2.213 72.91
72 3 2.596 0.059 0.469 18.75
72 5 6.091 0.057 0.372 4.84
72 10 10.813 0.226 7.052 113.46
72 30 14.206 0.184 6.088 16.27
72 50 33.215 0.291 20.347 30.18
72 100 31.252 0.207 17.246 47.46
73 1 0.593 0.136 0.022 5.61
73 3 nan -inf nan nan
73 5 4.435 0.097 3.119 232.25
73 10 8.421 0.138 3.326 49.73
73 30 21.339 0.102 7.492 39.40
73 50 41.513 0.094 12.745 27.65
73 100 92.040 0.266 89.460 145.98
74 1 0.777 0.124 0.023 4.03
74 3 2.187 0.068 0.156 10.54
74 5 nan -inf nan nan
74 10 11.589 0.307 10.157 91.63
74 30 12.264 0.371 8.990 131.23
74 50 11.753 0.197 3.895 16.45
74 100 72.950 0.124 28.161 22.18
75 1 0.634 0.080 0.110 4.69
75 3 nan -inf nan nan
75 5 nan -inf nan nan
75 10 nan -inf nan nan
75 30 25.795 0.133 42.728 611.71
75 50 27.246 0.165 61.133 659.66
75 100 26.981 0.098 106.087 466.06
76 1 0.123 0.041 0.032 9.25
76 3 nan -inf nan nan
76 5 4.006 0.038 1.034 38.25
76 10 7.256 0.054 2.424 85.01
76 30 21.196 0.735 68.384 2709.31
76 50 21.298 0.709 75.241 1095.99
76 100 21.380 0.488 83.713 1136.87
77 1 0.797 0.080 2.654 55.12
77 3 nan -inf nan nan
77 5 7.236 0.054 10.649 75.49
77 10 7.910 0.177 4.688 121.49
77 30 20.787 0.282 14.132 72.35
77 50 20.992 0.219 13.043 102.39
77 100 19.193 0.110 7.104 37.74
78 1 0.695 0.131 0.822 35.31
78 3 nan -inf nan nan
78 5 nan -inf nan nan
78 10 9.218 0.256 10.398 771.37
78 30 19.050 0.324 10.600 58.78
78 50 19.009 0.238 9.279 73.12
78 100 19.173 0.153 5.134 11.60
79 1 0.818 0.141 2.566 89.91
79 3 nan -inf nan nan
79 5 nan -inf nan nan
79 10 8.217 0.042 3.010 61.34
79 30 17.333 0.442 22.680 854.72
79 50 17.476 0.387 31.241 314.37
79 100 17.864 0.238 25.739 224.69
80 1 0.123 0.042 0.033 9.93
80 3 nan -inf nan nan
80 5 4.292 0.053 1.215 55.18
80 10 10.915 0.061 0.790 11.65
80 30 31.171 0.439 54.470 206.67
80 50 31.580 0.685 81.883 547.57
80 100 32.009 0.519 66.259 504.14
81 1 nan -inf nan nan
81 3 nan -inf nan nan
81 5 nan -inf nan nan
81 10 nan -inf nan nan
81 30 nan -inf nan nan
81 50 76.036 0.032 12.389 35.30
81 100 65.305 0.129 87.152 1704.69
82 1 0.756 0.138 0.034 4.06
82 3 2.371 0.193 0.924 62.02
82 5 3.740 0.227 1.500 101.67
82 10 8.094 0.197 3.691 71.09
82 30 31.007 0.760 43.398 472.48
82 50 32.847 0.830 33.871 217.85
82 100 33.460 0.404 21.531 33.94
83 1 0.123 0.044 0.029 6.96
83 3 2.494 0.104 0.765 41.45
83 5 4.333 0.063 1.276 39.52
83 10 12.938 0.774 23.679 590.40
83 30 13.592 1.045 35.309 1776.04
83 50 13.449 0.707 31.283 243.11
83 100 12.857 0.212 1.786 2.80
84 1 0.756 0.126 0.022 4.26
84 3 nan -inf nan nan
84 5 4.456 0.062 1.307 59.68
84 10 11.038 0.139 5.708 103.48
84 30 25.182 0.825 57.045 658.19
84 50 25.652 0.867 51.944 616.48
84 100 25.959 0.679 43.176 442.85
85 1 0.654 0.136 0.022 5.00
85 3 nan -inf nan nan
85 5 nan -inf nan nan
85 10 9.607 0.103 10.468 229.68
85 30 20.133 0.783 188.503 5371.76
85 50 20.256 0.685 298.440 7483.94
85 100 20.338 0.453 249.757 3194.23
86 1 0.715 0.135 0.021 4.41
86 3 nan -inf nan nan
86 5 nan -inf nan nan
86 10 nan -inf nan nan
86 30 21.646 0.267 16.593 631.67
86 50 22.893 0.177 11.879 89.23
86 100 79.511 0.126 33.669 23.64
87 1 0.143 0.019 0.033 2.75
87 3 2.739 0.117 0.613 20.65
87 5 4.027 0.139 1.549 80.36
87 10 6.336 0.112 2.528 94.94
87 30 7.644 0.057 6.915 5.19
87 50 38.877 0.230 17.106 46.96
87 100 104.877 0.356 70.215 80.88
88 1 0.818 0.115 0.030 3.46
88 3 2.575 0.157 0.909 44.17
88 5 4.701 0.176 1.557 39.33
88 10 11.937 0.236 5.194 28.26
88 30 30.639 0.974 75.178 229.21
88 50 30.966 1.166 81.005 1210.35
88 100 31.130 0.852 69.110 858.07
89 1 0.143 0.020 0.058 2.01
89 3 3.086 0.109 0.736 20.14
89 5 5.253 0.151 2.357 66.12
89 10 10.731 0.295 5.386 56.87
89 30 27.348 1.380 174.846 3256.55
89 50 27.410 1.380 166.545 7990.76
89 100 27.512 1.095 181.682 11776.75
90 1 0.123 0.044 0.032 10.75
90 3 nan -inf nan nan
90 5 nan -inf nan nan
90 10 9.975 0.106 6.064 264.88
90 30 22.157 0.497 15.924 68.81
90 50 24.283 0.476 14.647 52.07
90 100 25.202 0.309 13.923 61.54
91 1 0.143 0.023 0.034 4.29
91 3 2.391 0.122 0.822 55.80
91 5 4.129 0.098 1.579 54.46
91 10 9.382 0.122 3.563 39.29
91 30 23.812 0.396 23.880 21.36
91 50 43.864 0.779 65.417 183.36
91 100 44.804 0.683 51.708 243.13
92 1 0.123 0.034 0.030 6.68
92 3 2.616 0.063 0.138 8.17
92 5 4.476 0.085 1.370 62.53
92 10 11.692 0.096 3.360 25.72
92 30 37.916 0.215 18.906 47.77
92 50 42.208 0.574 64.279 886.54
92 100 44.886 0.515 43.647 213.53
93 1 0.675 0.137 0.022 4.95
93 3 3.822 0.089 0.153 5.65
93 5 4.047 0.208 3.470 469.74
93 10 4.313 0.194 2.735 356.12
93 30 29.331 0.071 7.877 25.25
93 50 35.770 0.063 12.412 73.32
93 100 84.600 0.128 133.877 409.75
94 1 0.613 0.135 0.022 5.28
94 3 nan -inf nan nan
94 5 nan -inf nan nan
94 10 13.368 0.144 15.137 376.37
94 30 14.124 0.524 14.793 270.81
94 50 14.165 0.410 13.273 182.62
94 100 14.206 0.171 3.192 18.76
95 1 0.797 0.129 0.022 3.91
95 3 nan -inf nan nan
95 5 nan -inf nan nan
95 10 nan -inf nan nan
95 30 33.194 0.416 58.446 251.24
95 50 34.175 0.678 56.561 644.17
95 100 34.727 0.498 38.726 89.30
96 1 0.797 0.096 0.037 2.50
96 3 3.924 0.165 0.216 1.80
96 5 4.006 0.393 3.575 129.45
96 10 4.149 0.281 2.995 115.08
96 30 8.544 0.027 1.263 1.03
96 50 49.607 0.608 133.799 685.95
96 100 51.345 0.656 131.662 478.62
97 1 0.613 0.081 0.588 17.43
97 3 4.313 0.139 1.660 37.99
97 5 5.110 0.557 7.183 310.71
97 10 10.118 0.948 17.027 98.16
97 30 10.179 0.786 13.047 317.75
97 50 10.056 0.533 13.134 391.19
97 100 61.238 0.122 46.002 121.21
98 1 0.123 0.040 0.028 7.11
98 3 1.962 0.170 1.064 111.62
98 5 4.476 0.130 0.412 4.36
98 10 6.255 0.233 3.991 177.72
98 30 5.519 0.115 0.908 2.39
98 50 29.883 0.403 118.791 4824.32
98 100 30.271 0.329 129.862 1555.48
99 1 0.777 0.210 0.048 3.79
99 3 3.148 0.098 0.151 2.20
99 5 4.599 0.108 1.576 22.58
99 10 16.331 0.296 4.166 8.09
99 30 31.804 1.251 149.374 393.25
99 50 31.620 1.400 225.653 1635.32
99 100 31.559 1.111 254.029 1907.81
100 1 0.675 0.083 0.024 2.73
100 3 2.882 0.045 1.451 20.15
100 5 nan -inf nan nan
100 10 9.034 0.257 45.153 280.68
100 30 18.825 1.201 37.868 369.16
100 50 18.927 1.078 27.998 134.67
100 100 19.132 0.680 26.705 157.96
101 1 0.143 0.023 0.034 3.83
101 3 2.494 0.137 0.868 49.17
101 5 4.231 0.160 1.565 66.43
101 10 8.707 0.145 3.665 65.59
101 30 30.864 0.633 45.706 172.26
101 50 32.070 0.775 45.662 1153.76
101 100 32.561 0.479 44.093 97.08
102 1 0.654 0.079 0.257 8.05
102 3 nan -inf nan nan
102 5 nan -inf nan nan
102 10 nan -inf nan nan
102 30 18.191 0.370 13.316 52.95
102 50 18.212 0.205 7.794 13.38
102 100 33.746 0.032 6.269 1.31
103 1 0.123 0.046 0.032 10.33
103 3 nan -inf nan nan
103 5 3.924 0.051 1.099 62.54
103 10 13.940 0.161 13.567 204.75
103 30 14.574 0.681 94.917 4217.49
103 50 14.471 0.518 121.794 1872.96
