star prot_5 height_5 tau_5 quality_5 prot_10 height_10 tau_10 quality_10 prot_30 height_30 tau_30 quality_30 prot_50 height_50 tau_50 quality_50 prot_100 height_100 tau_100 quality_100 
453 nan -inf nan nan 7.644 0.366 2.63e+00 0.020 nan -inf nan nan 40.246 1.060 4.21e+01 0.012 40.941 0.490 2.89e+01 0.053 
454 2.882 0.350 7.96e-01 0.042 5.968 0.212 9.23e-01 0.077 16.536 1.031 2.16e+01 0.007 16.536 0.944 2.15e+01 0.006 16.536 0.835 1.85e+01 0.008 
455 3.475 0.435 1.42e+00 0.013 nan -inf nan nan 20.399 0.168 6.90e+00 0.027 nan -inf nan nan 51.263 0.237 2.06e+01 0.036 
456 4.027 0.135 2.70e-01 0.059 nan -inf nan nan 25.734 0.470 1.00e+01 0.025 28.125 0.464 1.56e+01 0.014 27.573 0.357 1.15e+01 0.046 
457 2.432 0.341 1.13e+00 0.032 2.412 0.245 8.86e-01 0.034 2.371 0.204 6.05e-01 0.019 2.371 0.183 1.36e+00 0.028 2.371 0.163 1.36e+00 0.038 
458 4.354 0.430 1.43e+00 0.039 5.539 0.340 2.54e+00 0.014 5.457 0.200 1.66e+00 0.023 5.457 0.195 3.22e+00 0.034 5.457 0.169 3.19e+00 0.081 
459 2.167 1.355 5.61e+00 0.001 2.167 1.277 5.39e+00 0.002 2.146 1.025 3.95e+00 0.009 2.146 0.935 3.47e+00 0.009 2.146 0.833 2.90e+00 0.009 
460 0.572 0.101 1.25e-01 0.122 8.605 0.215 3.31e-01 0.032 15.596 0.216 3.28e+00 0.045 12.816 0.122 2.22e+00 0.052 12.816 0.134 1.77e+00 0.036 
461 3.720 0.251 2.22e-01 0.033 2.718 0.034 3.49e-01 0.180 21.584 0.135 2.16e+00 0.071 25.897 0.028 4.86e+00 1.454 59.766 0.793 5.78e+01 0.006 
462 nan -inf nan nan nan -inf nan nan 14.921 1.467 5.12e+01 0.001 14.921 1.364 5.01e+01 0.002 14.921 1.201 4.74e+01 0.005 
463 3.475 0.390 1.03e+00 0.034 3.413 0.113 6.58e-01 0.053 17.905 0.644 1.34e+01 0.006 17.905 0.475 1.05e+01 0.009 17.292 0.341 5.20e+00 0.045 
464 4.149 0.285 2.97e-01 0.047 4.231 0.047 6.74e-01 0.105 24.364 0.193 1.34e+00 0.074 28.657 0.218 8.58e+00 0.038 83.354 0.459 2.77e+01 0.031 
465 nan -inf nan nan 6.255 1.485 1.54e+01 0.002 6.255 1.227 1.13e+01 0.007 6.234 1.125 9.68e+00 0.008 6.214 0.960 8.02e+00 0.013 
466 4.333 0.208 2.41e-01 0.032 nan -inf nan nan nan -inf nan nan 42.372 1.096 5.10e+01 0.002 43.966 0.635 3.89e+01 0.014 
467 0.572 0.091 1.16e-01 0.147 nan -inf nan nan 14.574 0.798 1.65e+01 0.012 14.287 0.521 1.23e+01 0.053 13.572 0.320 2.44e+00 0.108 
468 4.108 0.391 1.39e+00 0.028 nan -inf nan nan nan -inf nan nan 35.279 0.664 2.10e+01 0.011 26.899 0.062 5.50e+00 0.373 
469 4.047 0.243 2.56e-01 0.037 7.931 0.276 6.82e-01 0.043 23.649 0.164 6.47e+00 0.061 41.227 0.400 1.24e+01 0.031 29.249 0.045 6.17e+00 0.361 
470 4.456 0.203 1.82e-01 0.026 9.382 0.206 1.39e+00 0.059 21.360 1.034 2.25e+01 0.003 21.441 0.764 2.17e+01 0.006 20.869 0.494 1.11e+01 0.030 
471 4.129 0.213 2.01e-01 0.032 7.133 0.190 4.29e-01 0.030 17.640 0.699 1.32e+01 0.020 17.640 0.674 1.43e+01 0.016 17.619 0.648 1.42e+01 0.013 
472 4.211 0.266 2.76e-01 0.039 7.931 0.349 1.97e+00 0.038 nan -inf nan nan 32.561 1.118 4.66e+01 0.005 32.029 0.650 3.67e+01 0.033 
473 4.333 0.473 1.69e+00 0.023 nan -inf nan nan nan -inf nan nan 30.741 1.195 4.46e+01 0.006 30.639 0.914 3.91e+01 0.008 
474 4.068 0.337 9.77e-01 0.036 2.841 0.176 6.49e-01 0.091 12.795 0.045 2.77e+00 0.442 nan -inf nan nan 54.431 0.718 5.05e+01 0.005 
475 0.572 0.068 1.41e-01 0.127 0.531 0.202 5.31e-01 0.119 26.122 0.955 2.37e+01 0.012 26.837 0.857 2.88e+01 0.004 26.224 0.775 3.02e+01 0.008 
476 1.431 0.393 7.56e-01 0.019 1.369 0.295 3.21e-01 0.050 17.905 1.453 5.91e+01 0.003 17.905 1.371 7.72e+01 0.005 17.905 1.277 9.63e+01 0.008 
477 3.781 0.222 2.43e-01 0.034 7.931 0.326 2.10e+00 0.035 nan -inf nan nan 36.322 0.790 2.63e+01 0.003 39.776 0.183 1.52e+01 0.056 
478 4.415 0.238 2.04e-01 0.029 8.278 0.111 3.68e-01 0.041 nan -inf nan nan 30.476 1.101 4.88e+01 0.008 30.476 0.992 6.09e+01 0.011 
479 4.415 0.227 3.42e-01 0.036 nan -inf nan nan 12.366 0.172 3.15e+00 0.231 26.449 0.159 6.18e+00 0.107 25.386 0.081 4.56e+00 0.267 
480 3.291 0.373 1.38e+00 0.008 8.217 0.867 6.77e+00 0.006 17.558 0.770 1.61e+01 0.006 17.558 0.643 1.38e+01 0.005 17.313 0.525 9.95e+00 0.015 
481 0.552 0.071 1.29e-01 0.136 0.531 0.167 5.31e-01 0.119 14.431 0.224 1.10e+00 0.042 14.431 0.174 2.04e+00 0.042 13.838 0.169 1.88e+00 0.035 
482 0.593 0.103 1.53e-01 0.082 0.593 0.153 1.21e-01 0.048 21.319 0.536 8.75e+00 0.035 22.014 0.398 9.03e+00 0.026 21.319 0.325 4.95e+00 0.018 
483 4.149 0.351 9.63e-01 0.042 nan -inf nan nan 25.059 0.187 2.43e+00 0.061 39.817 0.382 1.09e+01 0.030 79.388 0.180 2.14e+01 0.063 
484 3.638 0.498 1.11e+00 0.032 7.685 0.338 2.54e+00 0.026 25.100 0.113 7.14e+00 0.086 nan -inf nan nan 53.491 1.138 9.98e+01 0.003 
485 3.740 0.580 2.01e+00 0.018 3.495 0.132 6.52e-01 0.414 12.570 1.282 3.49e+01 0.005 12.570 1.203 3.87e+01 0.007 12.570 1.161 4.13e+01 0.011 
486 nan -inf nan nan nan -inf nan nan 25.141 1.048 2.66e+01 0.013 25.611 0.892 2.97e+01 0.006 25.488 0.771 2.87e+01 0.014 
487 nan -inf nan nan 6.500 0.533 4.25e+00 0.079 12.959 1.308 3.74e+01 0.012 12.959 1.285 4.83e+01 0.012 12.938 1.220 6.13e+01 0.011 
488 3.802 0.318 2.82e-01 0.040 6.316 0.196 4.59e-01 0.036 10.567 0.091 1.06e+00 0.071 10.322 0.078 1.24e+00 0.191 10.322 0.074 1.27e+00 0.127 
489 4.231 0.309 1.07e+00 0.027 9.075 0.789 6.71e+00 0.005 19.091 1.021 2.57e+01 0.007 19.152 0.919 2.40e+01 0.004 19.213 0.824 2.00e+01 0.006 
490 4.068 0.279 3.27e-01 0.040 8.789 0.509 3.35e+00 0.033 8.830 0.099 3.78e+00 0.189 17.517 0.113 3.06e+00 0.114 25.815 0.046 3.92e+00 0.546 
491 4.456 0.334 1.08e+00 0.041 nan -inf nan nan 20.767 1.275 3.73e+01 0.005 20.767 0.988 3.75e+01 0.011 20.051 0.683 2.66e+01 0.046 
492 3.843 0.447 1.21e+00 0.039 3.945 0.146 8.64e-01 0.045 nan -inf nan nan 33.235 1.540 1.05e+02 0.001 32.806 1.374 1.15e+02 0.004 
493 3.965 0.271 3.03e-01 0.040 8.544 0.262 8.00e-01 0.041 16.985 0.433 9.04e+00 0.013 16.904 0.195 4.63e+00 0.095 49.607 0.194 1.38e+01 0.064 
494 nan -inf nan nan 7.277 0.162 6.04e-01 0.028 nan -inf nan nan 41.963 0.659 2.50e+01 0.010 46.664 0.240 2.55e+01 0.085 
495 3.700 0.228 2.20e-01 0.033 nan -inf nan nan nan -inf nan nan 35.586 1.455 9.00e+01 0.002 35.790 1.316 1.20e+02 0.005 
496 nan -inf nan nan nan -inf nan nan 23.363 0.689 1.34e+01 0.020 23.526 0.454 1.28e+01 0.011 23.424 0.364 9.72e+00 0.015 
497 4.006 0.189 2.04e-01 0.027 nan -inf nan nan 12.877 0.536 9.03e+00 0.013 12.141 0.425 4.54e+00 0.038 11.262 0.296 3.18e+00 0.160 
498 0.613 0.104 1.56e-01 0.086 0.593 0.167 1.16e-01 0.051 13.000 0.043 1.03e+00 0.114 nan -inf nan nan 54.697 0.847 6.01e+01 0.008 
499 3.229 0.323 9.64e-01 0.016 3.720 0.114 9.01e-01 0.121 nan -inf nan nan 38.549 0.707 2.46e+01 0.006 43.741 0.239 1.81e+01 0.026 
500 3.148 0.195 7.51e-01 0.039 8.380 0.328 8.20e-01 0.039 13.388 0.417 7.25e+00 0.016 13.122 0.332 5.20e+00 0.022 12.264 0.269 2.18e+00 0.071 
501 3.229 0.214 2.00e-01 0.028 6.929 0.077 4.23e-01 0.077 17.905 0.766 1.61e+01 0.009 17.905 0.644 1.67e+01 0.017 17.803 0.539 1.22e+01 0.033 
502 0.593 0.106 1.43e-01 0.094 0.593 0.138 1.17e-01 0.055 9.075 0.052 3.98e-01 0.053 15.023 0.033 6.79e-01 0.144 25.959 0.034 4.75e+00 0.338 
503 4.129 0.401 1.27e+00 0.033 7.420 0.270 1.86e+00 0.027 14.471 0.687 1.28e+01 0.022 14.471 0.644 1.52e+01 0.026 14.471 0.596 1.47e+01 0.025 
504 nan -inf nan nan nan -inf nan nan nan -inf nan nan 35.279 1.634 1.29e+02 0.001 35.422 1.249 1.07e+02 0.008 
505 2.678 0.106 7.99e-01 0.092 2.984 0.176 6.95e-01 0.106 nan -inf nan nan 36.138 0.878 3.06e+01 0.007 36.792 0.343 1.88e+01 0.076 
506 nan -inf nan nan nan -inf nan nan 10.956 1.548 5.20e+01 0.003 10.956 1.476 4.89e+01 0.003 10.956 1.354 4.18e+01 0.003 
507 3.025 0.298 8.90e-01 0.025 6.868 0.222 6.03e-01 0.046 5.866 0.077 9.64e-01 0.048 5.784 0.100 8.36e-01 0.165 5.744 0.230 7.83e-01 0.078 
508 2.739 0.215 1.04e+00 0.042 2.575 0.075 5.45e-01 0.179 nan -inf nan nan 39.878 1.077 4.58e+01 0.004 41.309 0.713 4.01e+01 0.008 
509 3.495 0.770 2.50e+00 0.004 7.133 0.464 2.08e+00 0.054 3.229 0.081 6.45e-01 0.146 20.338 0.044 2.56e+00 1.218 52.408 0.747 4.67e+01 0.010 
510 0.552 0.107 1.07e-01 0.154 nan -inf nan nan 14.267 1.306 3.87e+01 0.005 14.267 1.229 4.41e+01 0.007 14.226 1.091 4.22e+01 0.010 
511 2.228 0.063 5.15e-01 0.110 5.498 0.319 1.45e+00 0.026 22.974 0.888 2.00e+01 0.014 25.223 0.653 2.01e+01 0.004 25.141 0.523 1.55e+01 0.010 
512 3.904 0.930 3.65e+00 0.004 4.170 0.437 2.46e+00 0.017 4.108 0.347 1.99e+00 0.011 4.108 0.314 1.70e+00 0.012 4.088 0.272 1.16e+00 0.026 
513 4.313 0.179 2.96e-01 0.025 nan -inf nan nan 17.129 1.631 8.60e+01 0.000 17.190 1.581 9.30e+01 0.001 17.129 1.450 8.71e+01 0.002 
514 nan -inf nan nan 7.951 1.582 2.62e+01 0.001 7.992 1.392 3.05e+01 0.002 7.972 1.291 2.94e+01 0.004 7.951 1.028 2.53e+01 0.019 
515 nan -inf nan nan nan -inf nan nan 16.638 1.675 9.61e+01 0.000 16.638 1.588 9.45e+01 0.001 16.556 1.478 8.02e+01 0.003 
516 3.168 0.190 6.22e-01 0.075 9.055 0.360 2.98e+00 0.019 19.418 0.671 1.25e+01 0.009 18.335 0.292 7.76e+00 0.051 17.272 0.253 3.17e+00 0.059 
517 0.613 0.085 1.63e-01 0.091 0.593 0.156 1.18e-01 0.056 12.407 0.031 1.58e+00 0.233 nan -inf nan nan 57.661 0.550 3.89e+01 0.012 
518 0.572 0.091 1.27e-01 0.126 0.552 0.188 5.52e-01 0.119 27.308 0.346 5.05e+00 0.045 40.144 0.528 1.60e+01 0.026 41.248 0.177 1.20e+01 0.038 
519 0.552 0.110 1.18e-01 0.112 nan -inf nan nan 10.404 0.288 3.77e+00 0.039 9.872 0.253 2.63e+00 0.034 9.872 0.246 2.00e+00 0.023 
520 0.531 0.088 1.04e-01 0.163 0.531 0.149 5.31e-01 0.134 6.847 0.041 5.25e-01 0.129 38.938 0.532 2.10e+00 0.051 38.917 0.458 1.76e+01 0.045 
521 0.511 0.138 9.25e-02 0.129 nan -inf nan nan 10.159 0.412 5.31e+00 0.014 10.077 0.325 3.33e+00 0.024 10.016 0.294 1.96e+00 0.038 
522 0.552 0.137 1.08e-01 0.130 2.862 0.026 3.48e-01 0.276 9.729 0.050 1.25e+00 0.343 31.825 0.585 1.58e+01 0.021 31.825 0.413 1.44e+01 0.024 
523 3.802 0.068 3.20e-01 0.063 nan -inf nan nan 10.261 1.368 4.55e+01 0.005 10.220 1.180 4.62e+01 0.015 10.138 0.945 3.97e+01 0.034 
524 4.231 0.398 1.39e+00 0.029 nan -inf nan nan nan -inf nan nan 46.950 1.133 5.37e+01 0.011 47.666 1.030 7.99e+01 0.008 
525 3.516 0.165 1.88e-01 0.029 7.277 0.253 4.27e-01 0.033 nan -inf nan nan 46.214 1.487 1.14e+02 0.004 46.214 1.482 2.15e+02 0.004 
526 4.027 0.200 6.47e-01 0.041 8.196 0.562 4.32e+00 0.009 16.618 0.951 2.05e+01 0.008 16.556 0.784 1.74e+01 0.013 16.372 0.552 7.71e+00 0.036 
527 nan -inf nan nan 6.050 0.176 2.24e+00 0.344 11.773 1.091 1.89e+01 0.004 11.753 1.017 1.69e+01 0.008 11.692 0.905 1.46e+01 0.012 
528 0.552 0.091 1.13e-01 0.148 8.953 0.320 6.04e-01 0.043 24.119 1.144 3.10e+01 0.010 24.405 1.077 3.80e+01 0.005 24.385 0.988 3.34e+01 0.005 
529 3.761 0.157 2.43e-01 0.052 7.461 0.291 6.85e-01 0.035 22.831 0.866 1.84e+01 0.008 23.731 0.495 1.48e+01 0.015 22.361 0.315 6.43e+00 0.065 
530 0.593 0.129 1.49e-01 0.073 0.572 0.189 5.72e-01 0.091 23.915 0.161 5.77e+00 0.068 37.384 0.449 1.25e+01 0.033 37.384 0.281 1.11e+01 0.018 
531 4.170 0.246 2.71e-01 0.039 7.256 0.366 2.19e+00 0.026 15.003 0.191 2.23e+00 0.021 20.767 0.058 2.76e+00 0.321 26.449 0.025 3.84e+00 1.180 
532 nan -inf nan nan nan -inf nan nan 13.531 1.565 6.93e+01 0.002 13.531 1.511 8.06e+01 0.003 13.511 1.437 1.05e+02 0.005 
533 4.476 0.363 1.03e+00 0.046 nan -inf nan nan 18.866 0.725 1.68e+01 0.005 17.517 0.468 1.06e+01 0.042 17.210 0.247 3.60e+00 0.088 
534 4.190 0.120 2.11e-01 0.054 nan -inf nan nan nan -inf nan nan 32.499 1.102 3.56e+01 0.003 32.990 0.759 3.14e+01 0.006 
535 4.170 0.284 9.08e-01 0.034 nan -inf nan nan 24.221 0.374 3.01e+00 0.061 0.572 0.404 8.16e-02 0.086 20.235 0.114 2.86e+00 0.711 
536 nan -inf nan nan 7.195 0.362 3.22e+00 0.074 13.429 1.360 3.98e+01 0.007 13.429 1.290 4.41e+01 0.008 13.429 1.180 4.35e+01 0.008 
537 3.597 0.348 1.01e+00 0.029 4.068 0.100 9.82e-01 0.125 nan -inf nan nan 37.957 0.789 2.84e+01 0.007 39.183 0.239 1.41e+01 0.061 
538 2.841 0.202 5.13e-01 0.042 2.657 0.090 4.23e-01 0.049 7.563 0.076 8.37e-01 0.168 39.674 0.373 2.20e+01 0.054 42.433 0.577 2.80e+01 0.021 
539 0.572 0.080 1.18e-01 0.175 7.256 0.071 3.62e-01 0.065 nan -inf nan nan 40.982 1.041 4.53e+01 0.009 42.658 0.948 5.88e+01 0.007 
540 0.572 0.087 1.36e-01 0.089 0.552 0.220 5.52e-01 0.110 14.921 0.781 1.51e+01 0.014 14.921 0.760 1.80e+01 0.017 14.390 0.764 2.22e+01 0.017 
541 0.593 0.113 1.37e-01 0.091 6.766 0.113 1.38e+00 0.124 16.229 1.278 3.48e+01 0.004 16.229 1.246 3.77e+01 0.005 16.188 1.190 3.38e+01 0.004 
542 4.027 0.323 2.94e-01 0.042 4.047 0.092 1.02e+00 0.052 9.893 0.126 7.25e-01 0.031 9.893 0.110 1.89e+00 0.037 9.872 0.097 9.41e-01 0.023 
543 nan -inf nan nan 5.171 0.141 8.67e-01 0.041 nan -inf nan nan 37.998 1.346 7.38e+01 0.004 38.345 1.163 6.20e+01 0.004 
544 2.984 0.098 2.29e-01 0.060 9.280 0.210 4.33e-01 0.026 nan -inf nan nan 32.050 1.528 1.04e+02 0.002 32.050 1.470 1.30e+02 0.005 
545 3.904 0.368 1.28e+00 0.026 nan -inf nan nan nan -inf nan nan 40.982 0.415 1.51e+01 0.025 27.328 0.035 5.01e+00 0.818 
546 0.511 0.094 1.10e-01 0.123 0.511 0.139 5.11e-01 0.152 12.019 0.041 1.87e+00 0.578 40.266 0.472 1.32e+01 0.024 41.411 0.153 1.21e+01 0.092 
547 4.558 0.953 3.97e+00 0.013 4.660 0.823 5.03e+00 0.004 4.599 0.617 3.44e+00 0.014 4.579 0.533 2.09e+00 0.021 4.579 0.456 1.05e+00 0.019 
548 nan -inf nan nan 8.094 0.414 3.69e+00 0.035 15.636 1.591 6.60e+01 0.003 15.636 1.527 8.59e+01 0.004 15.616 1.467 1.04e+02 0.004 
549 nan -inf nan nan 9.361 0.405 1.91e+00 0.046 20.174 0.491 8.21e+00 0.025 22.995 0.209 7.38e+00 0.063 47.359 0.204 9.67e+00 0.059 
550 0.572 0.118 1.31e-01 0.094 0.552 0.217 5.52e-01 0.111 13.592 0.223 3.69e+00 0.028 13.572 0.152 2.43e+00 0.044 46.889 0.102 3.54e+00 0.092 
551 3.802 0.189 3.20e-01 0.034 nan -inf nan nan 23.874 1.672 1.01e+02 0.002 23.874 1.659 1.46e+02 0.001 23.874 1.619 1.66e+02 0.001 
552 2.943 0.091 1.99e-01 0.052 nan -inf nan nan 12.284 0.684 1.20e+01 0.016 11.630 0.594 8.57e+00 0.035 11.651 0.515 2.97e+00 0.035 
553 3.311 0.171 3.07e-01 0.052 8.360 0.335 4.90e-01 0.035 9.832 0.103 1.91e+00 0.047 9.852 0.085 1.64e+00 0.031 9.852 0.079 1.48e+00 0.021 
554 4.211 0.236 2.75e-01 0.039 nan -inf nan nan nan -inf nan nan 30.558 0.725 2.72e+01 0.004 31.007 0.610 2.44e+01 0.005 
555 4.047 0.405 1.42e+00 0.025 nan -inf nan nan nan -inf nan nan 39.939 1.156 5.25e+01 0.006 40.369 0.946 7.14e+01 0.013 
556 0.858 0.209 2.14e-01 0.101 0.838 0.187 1.50e-01 0.095 7.399 0.092 9.09e-01 0.122 10.118 0.069 1.36e+00 0.265 11.099 0.069 3.02e+00 0.159 
557 0.572 0.093 1.36e-01 0.105 0.531 0.255 5.31e-01 0.121 14.921 0.994 2.21e+01 0.019 14.921 0.970 3.40e+01 0.023 14.921 0.962 6.07e+01 0.023 
558 1.697 0.274 5.54e-01 0.017 1.635 0.234 3.24e-01 0.022 1.594 0.258 2.39e-01 0.043 1.594 0.276 1.59e+00 0.045 1.594 0.271 2.34e-01 0.014 
559 3.618 0.276 6.26e-01 0.036 nan -inf nan nan 20.399 1.157 2.89e+01 0.006 20.522 1.019 3.41e+01 0.008 20.460 0.899 3.76e+01 0.017 
560 3.924 0.283 3.59e-01 0.042 8.585 0.302 1.50e+00 0.045 14.533 0.180 4.47e+00 0.037 17.783 0.191 3.71e+00 0.021 14.185 0.126 2.46e+00 0.040 
561 0.572 0.104 1.16e-01 0.151 6.786 0.184 3.46e-01 0.027 nan -inf nan nan 34.829 0.904 3.14e+01 0.010 35.606 0.627 3.71e+01 0.031 
562 2.943 0.093 2.18e-01 0.060 7.399 0.216 4.51e-01 0.031 13.572 0.237 3.66e+00 0.032 13.531 0.154 2.34e+00 0.053 11.262 0.142 3.18e+00 0.121 
563 1.553 1.402 6.25e+00 0.003 1.553 1.334 6.43e+00 0.003 1.553 1.112 5.04e+00 0.008 1.553 0.934 4.09e+00 0.016 1.553 0.790 3.15e+00 0.016 
564 1.983 0.121 5.09e-01 0.040 7.399 0.172 1.67e+00 0.069 20.072 0.789 1.36e+01 0.012 20.174 0.503 1.18e+01 0.020 20.072 0.415 9.32e+00 0.016 
565 nan -inf nan nan 8.830 0.347 2.33e+00 0.032 24.507 0.601 1.35e+01 0.007 nan -inf nan nan 50.241 1.094 9.27e+01 0.010 
566 4.170 0.292 3.28e-01 0.040 8.442 0.296 2.05e+00 0.036 12.100 0.151 3.46e+00 0.085 39.960 0.531 1.57e+01 0.019 81.269 0.501 3.50e+01 0.020 
567 nan -inf nan nan 7.522 0.409 3.02e+00 0.012 15.023 0.101 4.56e+00 0.393 29.004 0.583 1.82e+01 0.015 28.820 0.255 7.58e+00 0.059 
568 3.863 0.215 2.27e-01 0.030 6.684 0.090 5.40e-01 0.075 16.270 0.293 6.18e+00 0.015 14.083 0.134 2.86e+00 0.164 48.197 0.336 1.54e+01 0.029 
569 4.251 0.257 3.51e-01 0.036 7.788 0.184 4.06e-01 0.027 21.605 0.071 9.84e-01 0.070 nan -inf nan nan 60.400 0.496 3.54e+01 0.014 
570 nan -inf nan nan 9.259 0.288 1.95e+00 0.036 nan -inf nan nan 33.174 0.757 2.88e+01 0.012 30.987 0.511 1.98e+01 0.028 
571 0.572 0.082 1.26e-01 0.147 nan -inf nan nan nan -inf nan nan 45.254 1.025 4.71e+01 0.008 45.254 0.832 6.11e+01 0.010 
572 3.843 0.328 1.16e+00 0.030 nan -inf nan nan 23.444 1.530 6.66e+01 0.003 23.547 1.401 7.22e+01 0.003 23.363 1.207 6.37e+01 0.007 
573 2.739 1.401 8.02e+00 0.001 2.718 1.206 9.06e+00 0.010 2.698 0.963 7.06e+00 0.018 2.698 0.739 4.68e+00 0.038 2.698 0.577 5.43e-01 0.037 
574 0.531 0.076 1.07e-01 0.168 nan -inf nan nan nan -inf nan nan 30.803 1.047 4.30e+01 0.007 30.762 1.010 4.51e+01 0.005 
575 0.593 0.085 3.46e-01 0.145 0.552 0.061 5.52e-01 0.249 19.275 0.120 1.17e+00 0.061 22.239 0.064 2.96e+00 0.142 54.595 0.222 1.63e+01 0.053 
576 3.863 0.286 3.59e-01 0.040 6.336 0.131 1.45e+00 0.038 26.940 0.773 1.74e+01 0.022 27.532 0.543 1.81e+01 0.007 26.122 0.263 7.41e+00 0.059 
577 nan -inf nan nan 6.663 0.455 3.84e+00 0.073 12.918 1.077 2.17e+01 0.008 12.918 1.048 2.17e+01 0.006 12.898 0.953 1.91e+01 0.007 
578 4.313 0.340 2.91e-01 0.040 8.380 0.254 4.87e-01 0.026 21.482 0.201 6.23e+00 0.045 37.834 0.698 2.04e+01 0.019 37.998 0.379 1.84e+01 0.029 
579 3.557 0.511 1.18e+00 0.025 7.931 0.369 2.73e+00 0.021 24.834 0.696 1.56e+01 0.005 26.040 0.104 8.49e+00 0.544 48.810 0.547 3.15e+01 0.032 
580 3.761 0.119 2.25e-01 0.060 8.339 0.220 6.25e-01 0.036 20.603 0.425 9.69e+00 0.040 39.960 1.114 4.97e+01 0.016 40.123 0.907 5.77e+01 0.014 
581 3.434 0.288 2.90e-01 0.037 6.663 0.331 5.47e-01 0.032 6.009 0.096 8.44e-01 0.056 5.968 0.117 7.86e-01 0.046 5.968 0.117 7.49e-01 0.041 
582 0.593 0.092 1.33e-01 0.127 7.665 0.156 4.68e-01 0.035 21.871 0.730 1.52e+01 0.016 43.762 1.210 6.39e+01 0.026 44.211 1.134 8.58e+01 0.013 
583 nan -inf nan nan 8.258 0.373 3.19e+00 0.013 20.624 1.159 2.77e+01 0.002 20.706 0.692 2.02e+01 0.015 19.397 0.386 4.36e+00 0.108 
584 0.552 0.071 1.24e-01 0.161 5.825 0.089 2.17e-01 0.029 19.520 0.295 7.62e-01 0.024 19.500 0.117 1.42e+00 0.044 16.761 0.150 2.02e+00 0.089 
585 3.904 0.251 1.12e+00 0.027 7.910 0.722 5.33e+00 0.010 15.596 0.762 1.44e+01 0.006 15.636 0.642 1.21e+01 0.011 15.555 0.511 8.65e+00 0.018 
586 nan -inf nan nan nan -inf nan nan nan -inf nan nan 38.079 0.623 2.23e+01 0.009 53.941 0.333 2.45e+01 0.009 
587 4.027 0.137 2.67e-01 0.073 6.234 0.453 2.45e+00 0.017 16.434 0.616 1.05e+01 0.024 16.434 0.560 1.23e+01 0.029 16.393 0.553 1.04e+01 0.025 
588 0.552 0.114 1.11e-01 0.124 7.256 0.318 1.92e+00 0.034 12.039 0.439 5.26e+00 0.028 11.937 0.397 3.93e+00 0.021 11.794 0.363 6.74e+00 0.029 
589 3.904 0.211 8.74e-01 0.084 nan -inf nan nan nan -inf nan nan 41.738 0.476 1.69e+01 0.018 52.224 0.198 3.10e+01 0.049 
590 3.638 0.310 1.31e+00 0.016 nan -inf nan nan 18.273 1.496 6.12e+01 0.001 18.294 1.423 6.17e+01 0.001 18.191 1.291 5.32e+01 0.006 
591 3.229 0.136 2.17e-01 0.045 6.541 0.102 4.66e-01 0.085 16.372 0.297 5.61e+00 0.022 16.372 0.187 4.53e+00 0.022 15.371 0.179 3.12e+00 0.026 
592 0.552 0.090 1.08e-01 0.166 8.850 0.242 4.51e-01 0.037 26.470 0.311 2.83e+00 0.036 25.304 0.046 4.67e+00 0.866 67.778 0.928 5.91e+01 0.004 
593 3.597 0.337 9.48e-01 0.028 8.994 0.300 2.01e+00 0.036 18.927 0.711 1.29e+01 0.006 18.273 0.179 6.13e+00 0.173 56.455 0.422 2.14e+01 0.033 
594 nan -inf nan nan 6.295 0.126 2.03e+00 0.231 13.265 0.973 1.55e+01 0.010 13.265 0.966 1.32e+01 0.012 13.245 0.919 1.23e+01 0.013 
595 nan -inf nan nan nan -inf nan nan 20.011 1.186 3.05e+01 0.007 20.011 1.045 3.19e+01 0.005 20.011 0.979 3.27e+01 0.005 
596 4.006 0.245 2.32e-01 0.032 9.259 0.201 2.61e+00 0.068 16.556 1.295 3.90e+01 0.002 16.556 1.231 4.23e+01 0.002 16.372 1.212 3.77e+01 0.004 
597 nan -inf nan nan 5.662 1.249 1.12e+01 0.003 5.662 1.155 6.81e+00 0.011 5.662 1.083 6.29e+00 0.012 5.662 0.978 5.78e+00 0.011 
598 nan -inf nan nan 6.990 0.046 1.98e+00 0.989 16.229 0.852 1.74e+01 0.006 16.393 0.724 1.36e+01 0.011 16.393 0.652 1.20e+01 0.014 
599 4.211 0.355 1.40e+00 0.025 nan -inf nan nan 13.204 0.789 1.28e+01 0.005 13.184 0.671 1.05e+01 0.005 13.000 0.561 8.31e+00 0.013 
600 4.538 0.459 1.82e+00 0.027 6.541 0.531 3.24e+00 0.004 17.251 0.955 2.11e+01 0.008 17.313 0.873 2.08e+01 0.006 17.108 0.751 1.68e+01 0.010 
601 0.593 0.110 1.30e-01 0.113 nan -inf nan nan 12.407 0.455 7.05e+00 0.018 12.346 0.363 4.67e+00 0.032 11.221 0.304 6.17e+00 0.076 
602 nan -inf nan nan 7.890 1.094 9.26e+00 0.005 15.984 1.217 2.98e+01 0.010 16.025 1.178 3.10e+01 0.007 16.004 1.115 2.88e+01 0.005 
603 0.593 0.122 1.29e-01 0.104 7.522 0.139 5.19e-01 0.076 21.544 0.385 5.88e+00 0.028 22.034 0.216 5.78e+00 0.021 21.564 0.175 3.95e+00 0.027 
604 nan -inf nan nan 6.500 0.366 3.25e+00 0.169 12.959 1.398 4.52e+01 0.007 12.959 1.395 5.90e+01 0.006 12.938 1.373 7.79e+01 0.007 
