star prot_5 height_5 tau_5 quality_5 prot_10 height_10 tau_10 quality_10 prot_30 height_30 tau_30 quality_30 prot_50 height_50 tau_50 quality_50 prot_100 height_100 tau_100 quality_100 
93 3.986 0.651 2.34e+00 0.019 4.292 0.432 2.32e+00 0.009 4.149 0.321 9.41e-01 0.028 4.149 0.315 8.18e-01 0.022 4.088 0.284 6.91e-01 0.031 
94 0.572 0.115 1.30e-01 0.092 0.552 0.325 5.52e-01 0.155 14.349 0.884 1.61e+01 0.002 13.838 0.769 1.24e+01 0.008 13.817 0.652 9.54e+00 0.015 
95 0.552 0.087 1.13e-01 0.151 6.684 0.080 3.02e-01 0.046 nan -inf nan nan 33.705 1.051 3.75e+01 0.009 34.318 0.730 3.13e+01 0.011 
96 3.986 0.672 2.31e+00 0.018 4.068 0.379 2.06e+00 0.014 3.904 0.244 7.10e-01 0.055 3.761 0.465 5.32e-01 0.170 51.059 0.740 5.03e+01 0.018 
97 nan -inf nan nan nan -inf nan nan 10.240 0.970 1.26e+01 0.006 10.179 0.894 1.11e+01 0.007 10.138 0.748 8.74e+00 0.011 
98 2.146 0.114 7.25e-01 0.082 6.316 0.394 2.19e+00 0.035 6.193 0.221 9.74e-01 0.071 4.558 0.259 6.65e-01 0.149 4.517 0.255 6.54e-01 0.106 
99 nan -inf nan nan nan -inf nan nan nan -inf nan nan 31.763 1.478 9.85e+01 0.006 31.763 1.347 1.12e+02 0.010 
100 0.572 0.128 1.22e-01 0.092 8.953 0.584 4.74e+00 0.014 18.866 1.482 4.53e+01 0.003 18.968 1.326 3.98e+01 0.004 18.743 1.236 2.70e+01 0.014 
101 4.292 0.334 1.10e+00 0.036 8.319 0.374 2.86e+00 0.018 nan -inf nan nan 32.131 0.837 3.36e+01 0.004 32.397 0.586 2.56e+01 0.012 
102 1.880 0.056 3.00e-01 0.078 7.808 0.181 8.94e-01 0.048 18.191 0.553 1.23e+01 0.006 18.232 0.322 8.01e+00 0.050 16.372 0.196 5.62e+00 0.119 
103 0.552 0.125 1.07e-01 0.141 nan -inf nan nan 14.921 1.019 2.48e+01 0.009 14.124 0.853 2.45e+01 0.031 14.063 0.641 1.53e+01 0.062 
104 0.593 0.078 1.38e-01 0.140 0.593 0.130 1.12e-01 0.072 19.132 0.246 9.25e-01 0.037 19.132 0.203 1.37e+00 0.024 18.396 0.211 1.74e+00 0.014 
105 1.369 0.301 4.41e-01 0.053 1.226 0.232 1.90e-01 0.159 nan -inf nan nan 33.623 0.372 1.10e+01 0.032 35.054 0.185 8.37e+00 0.053 
106 4.333 0.344 1.12e+00 0.040 8.707 0.333 1.80e+00 0.034 nan -inf nan nan nan -inf nan nan 63.323 0.867 7.10e+01 0.005 
107 0.552 0.097 1.12e-01 0.142 nan -inf nan nan 17.824 0.241 7.05e+00 0.020 15.146 0.043 3.50e+00 0.566 43.823 0.159 1.15e+01 0.046 
108 0.736 0.421 4.49e-01 0.074 0.736 0.345 2.69e-01 0.073 2.371 0.441 2.63e-01 0.090 2.371 0.410 2.68e-01 0.058 2.391 0.319 2.81e-01 0.056 
109 4.292 0.218 2.53e-01 0.030 6.541 0.113 5.13e-01 0.054 18.600 0.079 3.36e+00 0.259 35.197 0.884 3.02e+01 0.013 35.197 0.545 2.44e+01 0.018 
110 4.292 0.206 2.57e-01 0.034 nan -inf nan nan 18.600 0.887 1.50e+01 0.003 18.743 0.513 1.20e+01 0.006 17.844 0.391 6.34e+00 0.047 
111 0.572 0.080 1.28e-01 0.142 0.552 0.138 5.52e-01 0.127 12.121 0.021 1.60e+00 1.135 32.479 0.625 1.86e+01 0.020 34.278 0.402 1.62e+01 0.014 
112 0.552 0.088 1.12e-01 0.151 3.373 0.028 3.13e-01 0.211 13.490 0.286 4.60e+00 0.023 13.449 0.225 3.09e+00 0.026 12.816 0.209 1.99e+00 0.047 
113 4.558 0.277 3.35e-01 0.043 nan -inf nan nan nan -inf nan nan 31.314 0.260 1.21e+01 0.016 79.756 0.448 2.96e+01 0.020 
114 0.634 0.100 1.93e-01 0.063 0.613 0.129 1.43e-01 0.037 nan -inf nan nan 35.504 0.997 3.55e+01 0.006 35.504 0.722 2.78e+01 0.014 
115 0.552 0.094 1.20e-01 0.126 0.531 0.158 5.31e-01 0.123 nan -inf nan nan 38.468 1.177 5.43e+01 0.009 38.468 1.064 8.57e+01 0.012 
116 4.435 0.432 1.19e+00 0.050 8.789 0.828 6.13e+00 0.032 8.953 0.734 8.64e+00 0.013 8.953 0.670 7.32e+00 0.013 8.953 0.579 5.15e+00 0.017 
117 nan -inf nan nan nan -inf nan nan 10.322 1.299 3.08e+01 0.004 10.281 1.199 3.36e+01 0.007 10.240 1.070 2.90e+01 0.011 
118 2.269 1.228 5.31e+00 0.007 2.248 1.179 5.68e+00 0.005 2.248 1.020 4.33e+00 0.008 2.248 0.881 3.65e+00 0.011 2.248 0.686 2.36e+00 0.025 
119 1.840 0.155 4.80e-01 0.137 5.968 0.660 4.07e+00 0.019 18.478 0.337 8.37e+00 0.071 36.526 0.811 2.73e+01 0.013 37.303 0.602 2.33e+01 0.030 
120 4.333 0.348 1.20e+00 0.031 nan -inf nan nan 19.479 0.625 1.52e+01 0.004 19.765 0.345 9.92e+00 0.038 17.967 0.235 6.94e+00 0.081 
121 0.552 0.102 1.11e-01 0.141 5.948 0.080 3.43e-01 0.068 7.031 0.037 8.23e-01 0.270 20.419 0.077 2.68e+00 0.101 17.047 0.108 2.25e+00 0.149 
122 0.552 0.111 1.08e-01 0.137 nan -inf nan nan nan -inf nan nan 34.278 1.430 8.02e+01 0.004 34.278 1.316 8.62e+01 0.005 
123 4.251 0.313 1.07e+00 0.027 8.810 0.316 2.35e+00 0.020 20.992 0.180 7.02e+00 0.021 nan -inf nan nan 86.236 0.773 6.01e+01 0.005 
124 4.619 0.178 1.95e-01 0.031 8.666 0.238 6.92e-01 0.039 nan -inf nan nan 30.701 1.096 3.61e+01 0.003 30.414 0.696 2.76e+01 0.018 
125 2.391 1.050 3.32e+00 0.002 2.391 0.933 2.73e+00 0.002 2.371 0.728 1.92e+00 0.011 2.371 0.671 1.64e+00 0.011 2.371 0.620 1.37e+00 0.008 
126 4.251 0.404 1.35e+00 0.032 8.707 0.381 2.63e+00 0.032 nan -inf nan nan 36.587 1.185 5.21e+01 0.003 36.628 0.754 5.43e+01 0.026 
127 3.597 0.119 2.18e-01 0.057 7.338 0.086 3.38e-01 0.045 24.446 1.104 2.92e+01 0.009 24.446 1.084 4.65e+01 0.009 23.751 1.007 7.15e+01 0.022 
128 0.593 0.091 1.42e-01 0.112 0.572 0.154 5.72e-01 0.126 23.608 0.576 1.05e+01 0.037 24.814 0.546 1.50e+01 0.023 23.690 0.506 1.31e+01 0.017 
129 4.129 0.352 1.22e+00 0.032 nan -inf nan nan 18.355 0.213 7.16e+00 0.217 35.647 1.299 6.95e+01 0.015 35.545 1.092 9.08e+01 0.016 
130 4.006 0.404 1.40e+00 0.026 8.483 0.364 2.55e+00 0.030 nan -inf nan nan 30.230 0.756 2.88e+01 0.003 29.290 0.327 1.18e+01 0.076 
131 0.552 0.144 1.07e-01 0.140 5.090 0.091 5.68e-01 0.077 8.462 0.030 1.25e+00 0.312 30.128 0.120 3.88e+00 0.075 58.581 0.193 1.65e+01 0.036 
132 3.843 0.386 1.04e+00 0.036 7.461 0.281 8.21e-01 0.033 nan -inf nan nan 37.405 0.949 3.53e+01 0.009 37.405 0.606 3.76e+01 0.037 
133 nan -inf nan nan nan -inf nan nan nan -inf nan nan 33.460 0.375 1.72e+01 0.009 32.152 0.138 9.32e+00 0.149 
134 4.170 0.393 1.41e+00 0.027 8.012 0.355 2.74e+00 0.019 nan -inf nan nan 39.960 0.948 3.83e+01 0.005 42.106 0.583 3.18e+01 0.010 
135 0.613 0.080 1.56e-01 0.111 0.593 0.138 1.15e-01 0.061 25.366 0.561 1.05e+01 0.028 25.366 0.414 1.15e+01 0.016 25.325 0.396 1.10e+01 0.010 
136 4.047 0.310 1.02e+00 0.034 nan -inf nan nan 14.267 0.372 7.79e+00 0.021 13.347 0.156 3.40e+00 0.149 86.399 0.582 3.83e+01 0.020 
137 1.124 0.056 2.99e-01 0.294 2.228 0.226 3.93e-01 0.026 24.671 1.359 4.23e+01 0.006 24.650 1.258 5.35e+01 0.005 24.650 1.113 5.06e+01 0.011 
138 0.593 0.076 1.38e-01 0.139 0.572 0.178 5.72e-01 0.123 19.111 0.050 5.98e+00 0.798 40.941 1.203 6.05e+01 0.004 42.249 0.903 5.15e+01 0.006 
139 4.149 0.263 3.31e-01 0.037 9.280 0.228 2.80e+00 0.133 27.410 0.507 8.57e+00 0.049 27.798 0.570 1.64e+01 0.026 27.798 0.537 1.61e+01 0.020 
140 4.027 0.417 1.63e+00 0.011 8.953 0.702 5.66e+00 0.008 18.151 1.427 5.36e+01 0.003 18.212 1.327 6.64e+01 0.005 18.110 1.164 8.09e+01 0.012 
141 3.822 0.135 1.88e-01 0.041 6.990 0.132 4.76e-01 0.059 nan -inf nan nan 30.823 0.770 2.97e+01 0.003 30.251 0.477 2.06e+01 0.017 
142 nan -inf nan nan nan -inf nan nan 15.923 1.277 3.57e+01 0.002 15.923 1.095 3.70e+01 0.007 15.718 0.861 2.68e+01 0.022 
143 0.552 0.090 1.19e-01 0.132 4.027 0.027 4.91e-01 0.176 17.905 0.918 2.06e+01 0.009 17.885 0.838 1.98e+01 0.007 17.742 0.751 1.60e+01 0.007 
144 nan -inf nan nan 8.442 0.325 2.11e+00 0.035 nan -inf nan nan 39.142 1.209 5.45e+01 0.004 39.612 0.728 4.68e+01 0.019 
145 0.593 0.082 1.40e-01 0.135 0.552 0.146 5.52e-01 0.132 24.507 0.244 2.36e+00 0.045 35.443 0.474 1.38e+01 0.022 51.161 0.137 1.42e+01 0.035 
146 0.572 0.125 1.18e-01 0.114 0.552 0.248 5.52e-01 0.120 15.963 0.400 7.57e+00 0.017 15.943 0.285 5.58e+00 0.023 15.923 0.248 3.49e+00 0.030 
147 3.863 0.113 5.12e-01 0.077 nan -inf nan nan 15.146 0.633 1.19e+01 0.004 14.921 0.423 7.69e+00 0.021 13.102 0.327 2.25e+00 0.132 
